IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
81.187.5.51,"None","None","None","None","AS20712 Andrews & Arnold Ltd, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
81.2.125.2,"None","None","None","None","AS20712 Andrews & Arnold Ltd, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
82.219.4.30,"None","None","None","None","EXA-NETWORKS Exa Networks Limited, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
82.64.247.11,"None","None","None","None","PROXAD, FR","FR",fr.pool.ntp.org,fr.pool.ntp.org,None,None,2,180,1,90,1,90
83.151.207.133,"None","None","None","None","GIGACLEAR, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
85.199.214.101,"None","None","None","None","ECOM-AS , GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,6,540,3,270,3,270
85.199.214.102,"None","None","None","None","ECOM-AS , GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
85.199.214.98,"None","None","None","None","ECOM-AS , GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
85.199.214.99,"None","None","None","None","ECOM-AS , GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,2,180,1,90,1,90
88.80.189.24,"None","None","None","None","AKAMAI-LINODE-AP Akamai Connected Cloud, SG","US",uk.pool.ntp.org,uk.pool.ntp.org,None,None,5,450,1,90,4,360
93.93.131.118,"None","None","None","None","MYTHIC Mythic Beasts Ltd, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,4,360,2,180,2,180
94.237.52.57,"None","None","None","None","UPCLOUD, FI","FI",uk.pool.ntp.org,uk.pool.ntp.org,None,None,3,270,1,90,2,180
95.215.175.2,"None","None","None","None","A4N-OFFNET Network Services, GB","GB",uk.pool.ntp.org,uk.pool.ntp.org,None,None,6,540,3,270,3,270
192.168.3.1,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,240,25680,120,16680,120,9000
