Device,PacketTotal,ByteTotal,TxPacketTotal,TxPacketPct,TxByteTotal,TxBytePct,RxPacketTotal,RxPacketPct,RxByteTotal,RxBytePct,LanPacketTotal,LanPacketPct,LanByteTotal,LanBytePct,LanTxPacketTotal,LanTxPacketPct,LanTxByteTotal,LanTxBytePct,LanRxPacketTotal,LanRxPacketPct,LanRxByteTotal,LanRxBytePct,WanPacketTotal,WanPacketPct,WanByteTotal,WanBytePct,WanTxPacketTotal,WanTxPacketPct,WanTxByteTotal,WanTxBytePct,WanRxPacketTotal,WanRxPacketPct,WanRxByteTotal,WanRxBytePct
Amazon Light (Idle),6310,1025701,3564,0.56481775,434163,0.423284173,2746,0.43518225,591538,0.576715827,0,0,0,0,0,0,0,0,0,0,0,0,6310,1,1025701,1,3564,0.56481775,434163,0.423284173,2746,0.43518225,591538,0.576715827
Govee Kettle (Idle),12170,1224071,8015,0.658586689,718489,0.586966769,4155,0.341413311,505582,0.413033231,0,0,0,0,0,0,0,0,0,0,0,0,12170,1,1224071,1,8015,0.658586689,718489,0.586966769,4155,0.341413311,505582,0.413033231
TP-Link Plug (Idle),3237,376802,2150,0.664195243,244951,0.650078821,1087,0.335804757,131851,0.349921179,63,0.019462465,40974,0.108741461,63,0.019462465,40974,0.108741461,0,0,0,0,3174,0.980537535,335828,0.891258539,2087,0.644732777,203977,0.54133736,1087,0.335804757,131851,0.349921179
Echo Dot 5 (Idle),205144,90530302,113882,0.555132005,60635317,0.669779241,91262,0.444867995,29894985,0.330220759,6049,0.029486605,1089243,0.012031806,3234,0.015764536,302797,0.003344703,2815,0.013722068,786446,0.008687102,199095,0.970513395,89441059,0.987968194,110648,0.539367469,60332520,0.666434538,88447,0.431145927,29108539,0.321533656
Litokam  Camera (Idle),88380,16681616,70006,0.792102286,14475029,0.867723427,18374,0.207897714,2206587,0.132276573,47474,0.537157728,12438188,0.745622486,47474,0.537157728,12438188,0.745622486,0,0,0,0,40906,0.462842272,4243428,0.254377514,22532,0.254944558,2036841,0.12210094,18374,0.207897714,2206587,0.132276573
Hue Bridge (Idle),334174,70518549,199816,0.597939995,59401841,0.842357675,134358,0.402060005,11116708,0.157642325,292517,0.875343384,67140978,0.952103793,178628,0.5345359,57644093,0.817431638,113889,0.340807484,9496885,0.134672156,41657,0.124656616,3377571,0.047896207,21188,0.063404095,1757748,0.024926038,20469,0.061252521,1619823,0.022970169
Netvue Camera (Idle),271417,56711251,127779,0.470784807,11796845,0.208015954,143638,0.529215193,44914406,0.791984046,253390,0.933581905,53502202,0.943414244,116414,0.428911969,10100003,0.178095225,136976,0.504669936,43402199,0.765319019,18027,0.066418095,3209049,0.056585756,11365,0.041872838,1696842,0.029920729,6662,0.024545257,1512207,0.026665026
