IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
119.29.218.136,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,82,7010,30,2598,52,4412
119.91.212.75,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
119.91.219.28,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,97,8275,34,2987,63,5288
119.91.223.128,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,44,3758,16,1390,28,2368
119.91.63.144,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,754,63598,252,22866,502,40732
123.207.0.34,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,524,44238,175,15884,349,28354
123.207.47.70,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,42,3571,16,1365,26,2206
129.204.53.84,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
14.22.7.140,Support,None,None,None,None,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,android.bugly.qq.com,android.bugly.qq.com,None,None,12,2747,5,581,7,2166
159.75.101.47,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
159.75.146.187,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
159.75.147.131,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,83,7076,31,2664,52,4412
159.75.151.232,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,755,63664,253,22932,502,40732
159.75.159.198,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,46,3890,18,1522,28,2368
159.75.159.35,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,754,63598,252,22866,502,40732
159.75.160.54,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,140,11854,47,4236,93,7618
159.75.160.84,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
159.75.161.28,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
159.75.162.153,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,101,8565,34,3053,67,5512
159.75.167.244,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,44,3758,16,1390,28,2368
159.75.168.110,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,82,7010,30,2598,52,4412
159.75.170.81,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,45,3769,19,1563,26,2206
159.75.171.164,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,286,24214,97,8720,189,15494
159.75.174.107,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,441,37220,149,13468,292,23752
159.75.184.141,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,83,7076,31,2664,52,4412
159.75.187.126,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
159.75.81.249,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,344,29066,115,10358,229,18708
180.163.207.103,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1665,6,1093,5,572
180.163.207.104,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,11,1665,5,1039,6,626
180.163.207.105,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1600,4,974,6,626
180.163.207.106,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1598,4,972,6,626
180.163.207.107,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,23,3369,10,2063,13,1306
180.163.207.108,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,10,1596,4,970,6,626
180.163.207.109,Support,None,None,None,None,"CHINANET-SH-AP China Telecom Group, CN",CN,imdns.hpplay.cn,imdns.hpplay.cn,None,None,31,4861,13,2971,18,1890
192.168.1.109,Local (Echo Dot 5),Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,22,6615,8,641,14,5974
192.168.1.255,Broadcast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,5753,7487295,0,0,5753,7487295
224.0.0.251,Multicast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,5751,7485728,0,0,5751,7485728
239.255.255.250,Broadcast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,92460,35828250,0,0,92460,35828250
240e:97c:2f:1::9f,Support,None,None,None,None,"CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN",CN,None,None,None,None,36,9282,15,2179,21,7103
240e:97c:2f:2::4a,Support,None,None,None,None,"CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN",CN,None,None,None,None,42,11671,18,2564,24,9107
2600:1700:5a0f:ee00::314:1b,Time,None,None,None,None,"ATT-INTERNET4, US",US,None,None,None,None,5,550,2,220,3,330
2600:3c01:e000:7e6::123,Time,None,None,None,None,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",US,None,None,None,None,2,220,1,110,1,110
2603:c020:6:b900:6b54:1390:4afd:814a,Time,None,None,None,None,"ORACLE-BMC-31898, US",US,None,None,None,None,2,220,1,110,1,110
2604:a840::111,Time,None,None,None,None,"XTOM, US",US,None,None,None,None,2,220,1,110,1,110
2605:6400:84e1::123,Time,None,None,None,None,"PONYNET, US",US,None,None,None,None,2,220,1,110,1,110
2620:138:5000:0:5054:ff:fe89:6673,Time,None,None,None,None,"NULLROUTE, US",US,None,None,None,None,2,220,1,110,1,110
2620:46:8000:128::112,Time,None,None,None,None,"GAC, US",US,None,None,None,None,2,220,1,110,1,110
2620:83:8000:ffd1:1::e,Time,None,None,None,None,"LBL, US",US,None,None,None,None,2,220,1,110,1,110
2a03:2880:f003:112:face:b00c:0:2,Third,None,None,None,None,"FACEBOOK, US",IE,None,None,None,None,22,7438,9,5396,13,2042
2a03:2880:f003:c07:face:b00c:0:2,Third,None,None,None,None,"FACEBOOK, US",IE,None,None,None,None,134,44739,50,32043,84,12696
42.193.219.66,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
42.193.237.243,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
42.193.241.129,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,437,36846,147,13286,290,23560
42.193.243.31,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
42.194.224.216,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,15,1257,6,455,9,802
42.194.225.15,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
42.194.225.93,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,754,63598,252,22866,502,40732
42.194.229.237,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,403,33997,135,12219,268,21778
42.194.235.79,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
42.194.238.150,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,619,52213,207,18771,412,33442
42.194.243.144,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,41,3505,15,1299,26,2206
42.194.243.25,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,82,7010,30,2598,52,4412
42.194.244.81,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,397,33575,134,12087,263,21488
43.138.145.210,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,35,2999,12,1051,23,1948
43.138.147.121,Support,None,None,None,None,"TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN",CN,None,None,None,None,191,16155,64,5783,127,10372
