MAC,Type,Network,Transport,Session,Application
90:31:4B:71:8E:B6,ALL,"ip","tcp,udp","tls","http,ssdp,udp:8555,tcp:8883,https"
90:31:4B:71:8E:B6,WAN,"ip","tcp,udp","tls","udp:8555,tcp:8883,https"
90:31:4B:71:8E:B6,LAN,"ip","tcp,udp","","http,ssdp"
AC:84:C6:20:FE:4B,ALL,"ip","tcp,udp","tls","ntp,tplink-smarthome,https"
AC:84:C6:20:FE:4B,WAN,"ip","tcp,udp","tls","ntp,https"
AC:84:C6:20:FE:4B,LAN,"ip","udp","","tplink-smarthome"
44:3D:54:BE:12:3C,ALL,"ip,ipv6","tcp,udp","tls","http,mdns,tplink-smarthome,ssdp,ntp,udp:56700,udp:1982,https"
44:3D:54:BE:12:3C,WAN,"ip","tcp,udp","tls","http,ntp,https"
44:3D:54:BE:12:3C,LAN,"ipv6,ip","udp,tcp","","mdns,http,tplink-smarthome,ssdp,udp:56700,udp:1982"
EC:B5:FA:99:AC:15,ALL,"ipv6,ip","udp,tcp","tls","mdns,http,ssdp,ntp,https"
EC:B5:FA:99:AC:15,WAN,"ip","tcp,udp","tls","http,ntp,https"
EC:B5:FA:99:AC:15,LAN,"ipv6,ip","udp,tcp","","mdns,http,ssdp"
60:74:F4:1B:24:16,ALL,"ip","tcp,udp","tls","http,ntp,tcp:8883"
60:74:F4:1B:24:16,WAN,"ip","tcp,udp","tls","http,ntp,tcp:8883"
60:74:F4:1B:24:16,LAN,"","","",""
90:31:4B:71:B2:7B,ALL,"ip","udp,tcp","tls","udp:6667,tcp:8883,https"
90:31:4B:71:B2:7B,WAN,"ip","tcp","tls","tcp:8883,https"
90:31:4B:71:B2:7B,LAN,"ip","udp","","udp:6667"
64:B7:08:A9:2B:20,ALL,"ip","tcp,udp","tls","ntp,tcp:8883,https"
64:B7:08:A9:2B:20,WAN,"ip","tcp,udp","tls","ntp,tcp:8883,https"
64:B7:08:A9:2B:20,LAN,"","","",""
