Interval,Frames,Bytes
0 <> 21600,1081,107708
21600 <> 43200,1108,110734
43200 <> 64800,1081,107708
64800 <> 86400,1109,110824
86400 <> 108000,1088,108086
108000 <> 129600,1108,110734
129600 <> 151200,1081,107570
151200 <> 172800,1109,110788
172800 <> 194400,1082,107762
194400 <> 216000,1110,110842
216000 <> 237600,1087,108068
237600 <> 259200,1109,110788
259200 <> 280800,1085,107786
280800 <> 302400,1107,110680
302400 <> 324000,1085,107924
324000 <> 345600,1108,110734
345600 <> 367200,1087,108032
367200 <> 388800,1109,110788
388800 <> 410400,1087,108032
410400 <> 432000,1102,110273
432000 <> 453600,1080,107654
453600 <> 475200,2587,1053929
475200 <> 496800,1087,108032
496800 <> Dur,1103,110326
