Interval,Frames,Bytes
0 <> 21600,101921,16426001
21600 <> 43200,116098,18211192
43200 <> 64800,113038,14538730
64800 <> 86400,103522,14740597
86400 <> 108000,101975,13383956
108000 <> 129600,92919,14224177
129600 <> 151200,87222,9320042
151200 <> 172800,87312,9473284
172800 <> 194400,86909,9269604
194400 <> 216000,93005,14488734
216000 <> Dur,86757,9402440
