Interval,Frames,Bytes
0 <> 21600,6934,1309191
21600 <> 43200,6687,1218651
43200 <> 64800,6841,1257619
64800 <> 86400,6991,1286220
86400 <> 108000,6871,1292859
108000 <> 129600,6706,1223706
129600 <> 151200,6755,1240177
151200 <> 172800,7016,1287250
172800 <> 194400,6849,1287299
194400 <> 216000,6669,1214034
216000 <> Dur,6756,1240336
