Interval,Frames,Bytes
0 <> 21600,297,36188
21600 <> 43200,297,36334
43200 <> 64800,298,36424
64800 <> 86400,299,36344
86400 <> 108000,297,36334
108000 <> 129600,299,36466
129600 <> 151200,294,36014
151200 <> 172800,299,36466
172800 <> 194400,291,32458
194400 <> 216000,294,36014
216000 <> 237600,293,33822
237600 <> 259200,291,32642
259200 <> 280800,291,34258
280800 <> 302400,294,34580
302400 <> 324000,291,32642
324000 <> 345600,290,32452
345600 <> 367200,305,37046
367200 <> 388800,296,34712
388800 <> 410400,290,32452
410400 <> 432000,291,32642
432000 <> 453600,295,34646
453600 <> 475200,296,34588
475200 <> 496800,294,34580
496800 <> Dur,293,34390
