Interval,Frames,Bytes
0 <> 21600,56908,13001226
21600 <> 43200,57200,13193238
43200 <> 64800,57687,13481516
64800 <> 86400,57498,13308907
86400 <> 108000,57708,13384289
108000 <> 129600,57328,13230994
129600 <> 151200,57297,13253382
151200 <> 172800,71065,62903864
172800 <> 194400,83876,80965190
194400 <> 216000,60600,15618194
216000 <> 237600,58977,14921087
237600 <> 259200,56194,13760556
259200 <> 280800,58665,14719105
280800 <> 302400,58461,14416157
302400 <> 324000,57834,14571275
324000 <> 345600,55179,13202649
345600 <> 367200,59404,14856103
367200 <> 388800,57686,14147043
388800 <> 410400,57321,14121068
410400 <> 432000,56177,13674666
432000 <> 453600,60746,15899745
453600 <> 475200,57634,14293684
475200 <> 496800,56692,14012267
496800 <> Dur,58902,14600606
