Interval,Frames,Bytes
0 <> 21600,284230,54793332
21600 <> 43200,302530,58155957
43200 <> 64800,298155,59098608
64800 <> 86400,305608,65815261
86400 <> 108000,291946,54111907
108000 <> 129600,274568,52349819
129600 <> 151200,271688,50544004
151200 <> 172800,275486,54691362
172800 <> 194400,265994,43991613
194400 <> 216000,277662,55616973
216000 <> Dur,342098,123449311
