Interval,Frames,Bytes
0 <> 21600,652,128452
21600 <> 43200,573,94100
43200 <> 64800,543,84912
64800 <> 86400,569,93813
86400 <> 108000,547,85860
108000 <> 129600,581,96372
129600 <> 151200,547,86111
151200 <> 172800,544,85103
172800 <> 194400,574,94854
194400 <> 216000,569,92923
216000 <> 237600,545,86074
237600 <> 259200,540,84901
259200 <> 280800,576,94964
280800 <> 302400,574,93257
302400 <> 324000,548,86171
324000 <> 345600,550,85539
345600 <> 367200,597,102760
367200 <> 388800,547,85250
388800 <> 410400,551,86334
410400 <> 432000,546,85082
432000 <> 453600,606,103290
453600 <> 475200,542,84928
475200 <> 496800,550,86386
496800 <> Dur,542,84982
