Interval,Frames,Bytes
0 <> 21600,4160,695523
21600 <> 43200,3957,693904
43200 <> 64800,4522,768384
64800 <> 86400,4234,536815
86400 <> 108000,3666,430655
108000 <> 129600,4207,488778
129600 <> 151200,3447,415427
151200 <> 172800,2715,302940
172800 <> 194400,2531,270587
194400 <> 216000,2201,236119
216000 <> Dur,2536,269419
