Interval,Frames,Bytes
0 <> 21600,7891,1483956
21600 <> 43200,7884,1481716
43200 <> 64800,7847,1473900
64800 <> 86400,7884,1493684
86400 <> 108000,7808,1468708
108000 <> 129600,7902,1484820
129600 <> 151200,7858,1474822
151200 <> 172800,7904,1482604
172800 <> 194400,7891,1486354
194400 <> 216000,7850,1469000
216000 <> 237600,7890,1481192
237600 <> 259200,7929,1489766
259200 <> 280800,7857,1474756
280800 <> 302400,7903,1483712
302400 <> 324000,7844,1473898
324000 <> 345600,7861,1483754
345600 <> 367200,7884,1487556
367200 <> 388800,7867,1480802
388800 <> 410400,7864,1478382
410400 <> 432000,7854,1485714
432000 <> 453600,7767,1471434
453600 <> 475200,7868,1484020
475200 <> 496800,7870,1480850
496800 <> Dur,7868,1486654
