Interval,Frames,Bytes
0 <> 21600,297,36188
21600 <> 43200,294,36014
43200 <> 64800,298,36424
64800 <> 86400,302,36664
86400 <> 108000,294,36014
108000 <> 129600,299,36466
129600 <> 151200,297,36334
151200 <> 172800,296,36146
172800 <> 194400,291,32458
194400 <> 216000,297,36334
216000 <> 237600,290,33500
237600 <> 259200,291,32642
259200 <> 280800,294,34580
280800 <> 302400,291,34258
302400 <> 324000,291,32642
324000 <> 345600,293,32774
345600 <> 367200,302,36724
367200 <> 388800,296,34712
388800 <> 410400,293,32774
410400 <> 432000,288,32320
432000 <> 453600,295,34646
453600 <> 475200,299,34910
475200 <> 496800,291,32642
496800 <> Dur,296,36328
