Interval,Frames,Bytes
0 <> 21600,5448,603562
21600 <> 43200,5383,582668
43200 <> 64800,5627,579556
64800 <> 86400,5628,579684
86400 <> 108000,5731,603489
108000 <> 129600,5628,579682
129600 <> 151200,5620,579088
151200 <> 172800,5620,578760
172800 <> 194400,5623,579364
194400 <> 216000,5627,579654
216000 <> Dur,5630,579890
