Interval,Frames,Bytes
0 <> 21600,942,104755
21600 <> 43200,852,85392
43200 <> 64800,48942,23615467
64800 <> 86400,97630,47509379
86400 <> 108000,97675,47512328
108000 <> 129600,97603,47501799
129600 <> 151200,97551,47442277
151200 <> 172800,97685,47516760
172800 <> 194400,97625,47505312
194400 <> 216000,97677,47500087
216000 <> 237600,97616,47500477
237600 <> Dur,97702,47518139
