IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
50.17.211.227,"None","None","None","None","AMAZON-AES, US","US",localweb.nvts.co,localweb.nvts.co,None,None,335,111578,138,89062,197,22516
52.20.116.208,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,463,139330,196,109336,267,29994
52.200.232.52,"None","None","None","None","AMAZON-AES, US","US",0.ntp.nvts.co,0.ntp.nvts.co,None,None,310,18577,143,9262,167,9315
52.201.138.67,"None","None","None","None","AMAZON-AES, US","US",localweb.nvts.co,localweb.nvts.co,None,None,312,103686,130,82823,182,20863
52.21.69.56,"None","None","None","None","AMAZON-AES, US","US",deviceapi.nvts.co,deviceapi.nvts.co,None,None,1,66,0,0,1,66
52.216.109.37,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,16952,17,7500,25,9452
52.216.136.214,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,41,16867,16,7446,25,9421
52.216.137.238,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17333,18,7554,25,9779
52.216.170.173,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17935,18,7554,25,10381
52.216.177.245,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,42,17096,17,7500,25,9596
52.216.187.93,"None","None","None","None","AMAZON-02, US","US",s3.us-east-1.amazonaws.com,s3.us-east-1.amazonaws.com,None,None,43,17317,17,7500,26,9817
