US1-Litokam-aligned-Nov2-Nov8-filtered.pcap
endpoint: 255.255.255.255
total_packet_count: 103593
total_byte_count: 27141366
tx_packet_count: 0
tx_byte_count: 0
rx_packet_count: 103593
rx_byte_count: 27141366
wan: 103593
endpoint: 192.168.1.105
total_packet_count: 188845
total_byte_count: 35542054
tx_packet_count: 150821
tx_byte_count: 31300170
rx_packet_count: 38024
rx_byte_count: 4241884
lan: 38024
endpoint: 54.188.109.168
total_packet_count: 76248
total_byte_count: 6244500
tx_packet_count: 33888
tx_byte_count: 2831952
rx_packet_count: 42360
rx_byte_count: 3412548
lan: 42360
endpoint: 44.230.212.240
total_packet_count: 9004
total_byte_count: 2156188
tx_packet_count: 4136
tx_byte_count: 1409932
rx_packet_count: 4868
rx_byte_count: 746256
wan: 4868

