Interval,Frames,Bytes
0 <> 21600,1918,599026
21600 <> 43200,1338,386025
43200 <> 64800,834,169856
64800 <> 86400,2143,669237
86400 <> 108000,1225,446401
108000 <> 129600,907,336980
129600 <> 151200,747,145274
151200 <> 172800,4388,2289620
172800 <> 194400,1175,446122
194400 <> 216000,1582,273089
216000 <> 237600,1840,429791
237600 <> Dur,3165,915669
