Interval,Frames,Bytes
0 <> 21600,96556,13240913
21600 <> 43200,113084,16743430
43200 <> 64800,108432,12625584
64800 <> 86400,102796,13462381
86400 <> 108000,102907,13512059
108000 <> 129600,92410,14084068
129600 <> 151200,86957,9161410
151200 <> 172800,87280,9358827
172800 <> 194400,86643,9149069
194400 <> 216000,93158,14485186
216000 <> Dur,86715,9228117
