IP, Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
255.255.255.255,None,None,None,120858,31664796,0,0,120858,31664796
54.188.109.168,*.us-*.compute.amazonaws.com,United States,None,89040,7290792,39580,3306846,49460,3983946
44.230.212.240,*.tuyaus.com,United States,US;US,10505,2518740,4825,1648627,5680,870113
