IP,Type, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
20.190.151.9,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,66,73309,29,52810,37,20499
20.190.190.129,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,20,22130,9,15977,11,6153
20.190.190.130,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,47,60935,20,44620,27,16315
20.190.190.132,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,22,23136,10,16927,12,6209
20.190.190.193,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,132,160201,56,117133,76,43068
20.190.190.194,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,194,233793,87,170621,107,63172
20.190.190.196,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,63,73161,26,52662,37,20499
40.126.62.129,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,88,112487,37,82009,51,30478
40.126.62.130,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,84,94657,35,67935,49,26722
40.126.62.132,First,Microsoft Corporation,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,login.live.com,login.live.com,None,None,42,45266,18,32850,24,12416
20.114.58.89,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,msedge.api.cdp.microsoft.com,msedge.api.cdp.microsoft.com,None,None,18,7790,8,5456,10,2334
23.102.129.60,First,Microsoft,US,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,msedge.api.cdp.microsoft.com,msedge.api.cdp.microsoft.com,None,None,17,7736,7,5402,10,2334
224.0.0.251,Local Multicast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,4293,750499,0,0,4293,750499
224.0.0.252,Local Multicast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,1973,142056,0,0,1973,142056
ff02::1:3,Local Multicast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,1973,181516,0,0,1973,181516
ff02::fb,Local Multicast,Local,Local,Local,Local,Local,Local,N/A,N/A,Local,Local,4294,836607,0,0,4294,836607
104.114.75.26,Support,None,None,None,None,"AKAMAI-ASN1, NL",US,None,None,None,None,20,1810,10,938,10,872
168.61.215.74,First,None,None,None,None,"MICROSOFT-CORP-MSN-AS-BLOCK, US",US,None,None,None,None,24,2160,12,1080,12,1080
192.229.211.108,Support,None,None,None,None,"EDGECAST, US",US,None,None,None,None,52,9112,24,5782,28,3330
2001:1900:2302:1f01::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,36,3890,21,2234,15,1656
2001:1900:2302:6f0d::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,15,2336,7,1198,8,1138
2001:1900:2302:6f17::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,74,15149,43,12101,31,3048
2001:1900:2302:6f1b::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,36,3890,21,2234,15,1656
2001:1900:2302:8f04::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,134,14202,75,7934,59,6268
2001:1900:2302:8f06::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,36,3890,21,2234,15,1656
2001:1900:2302:8f09::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,15,2336,7,1198,8,1138
2001:1900:230e:3037::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,36,3890,21,2234,15,1656
2001:1900:235c:f00::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,15,9557,7,8757,8,800
2001:1900:235d:d00::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,36,3890,21,2234,15,1656
2001:1900:23b0:11::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,98,17566,54,13262,44,4304
2001:1900:23b0:15::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,26,2565,12,1235,14,1330
2001:1900:23b0:17::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,36,3890,21,2234,15,1656
2001:1900:23b0:1::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,15,2336,7,1198,8,1138
2001:1900:23b0:1b::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,26,2533,12,1233,14,1300
2001:1900:23b0:7::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,30,4672,14,2396,16,2276
2001:1900:23b0:9::1fe,Support,None,None,None,None,"LEVEL3, US",US,None,None,None,None,72,7780,42,4468,30,3312
