Device,PacketAvg,PacketCoV,ByteAvg,ByteCoV,TxPacketAvg,TxPacketCoV,TxByteAvg,TxByteCoV,RxPacketAvg,RxPacketCoV,RxByteAvg,RxByteCoV,LanPacketAvg,LanPacketCoV,LanByteAvg,LanByteCoV,LanTxPacketAvg,LanTxPacketCoV,LanTxByteAvg,LanTxByteCoV,LanRxPacketAvg,LanRxPacketCoV,LanRxByteAvg,LanRxByteCoV,WanPacketAvg,WanPacketCoV,WanByteAvg,WanByteCoV,WanTxPacketAvg,WanTxPacketCoV,WanTxByteAvg,WanTxByteCoV,WanRxPacketAvg,WanRxPacketCoV,WanRxByteAvg,WanRxByteCoV
DreamGlass Air (US1),614.3128205,4.559026154,268445.3385,5.097463945,584.3794872,4.792253359,265302.6667,5.15758329,29.93333333,0.245870736,3142.671795,0.450236306,533.2615385,5.251718708,260553.2718,5.251696334,533.2205128,5.251689846,260549.9846,5.25169161,0.041025641,13.96424004,3.287179487,13.96424004,81.05128205,0.23068008,7892.066667,0.331700955,51.15897436,0.227279616,4752.682051,0.280874061,29.89230769,0.245816644,3139.384615,0.450939402
Echo Dot 5 (US1),2359.068871,0.696088245,1139373.044,4.340606551,1242.019284,0.613553489,533617.5702,1.186728417,1117.049587,0.834469891,605755.4738,7.900686545,58.57300275,1.249009054,10758.85675,1.329805987,31.12947658,1.083695261,2964.515152,1.124846559,27.44352617,1.462830726,7794.341598,1.420858922,2300.495868,0.708916004,1128614.187,4.381609128,1210.889807,0.623143414,530653.0551,1.191688314,1089.606061,0.852063319,597961.1322,8.003654508
Govee Kettle (US1),187.1873278,0.422845138,20889.49036,2.376208751,123.338843,0.366955108,10842.55647,0.253841279,63.84848485,0.531187318,10046.93388,4.673516821,0,0,0,0,0,0,0,0,0,0,0,0,187.1873278,0.422845138,20889.49036,2.376208751,123.338843,0.366955108,10842.55647,0.253841279,63.84848485,0.531187318,10046.93388,4.673516821
Hue Bridge (US1),3065.294766,0.624106065,677451.5207,1.119774466,1927.853994,0.540756494,549825.0193,0.598926107,1137.440771,0.77159537,127626.5014,5.156312357,2402.347107,0.791263523,589099.3416,0.681911746,1593.787879,0.654535946,521670.0275,0.63294689,808.5592287,1.060910574,67429.31405,1.060914368,662.9476584,0.600615729,88352.17906,7.529057427,334.0661157,0.459319402,28154.99174,0.836198707,328.8815427,0.771913483,60197.18733,10.92834364
Litokam Camera (US1),1308.630854,0.021929066,246558.832,0.019105305,1044.46832,0.015071864,217119.2397,0.008664854,264.1625344,0.050781993,29439.59229,0.105727804,719.2258953,0.004681191,188436.6667,0.004680045,719.2231405,0.004679754,188436.4628,0.004679754,0.002754821,19.05255888,0.203856749,19.05255888,589.4049587,0.047066926,58122.16529,0.079154613,325.2451791,0.044888997,28682.77686,0.055503704,264.1597796,0.050788494,29439.38843,0.105738471
Metaquest Pro (US1),5112.405128,0.528164084,3370255.544,2.014324548,2670.369231,0.486951048,979644.9282,0.443908126,2442.035897,0.575808485,2390610.615,2.789428078,0,0,0,0,0,0,0,0,0,0,0,0,5112.405128,0.528164084,3370255.544,2.014324548,2670.369231,0.486951048,979644.9282,0.443908126,2442.035897,0.575808485,2390610.615,2.789428078
Nest Mini (US1),2554.030769,0.223991008,600410.241,0.787812351,1635.789744,0.181379757,309112.0974,0.23333512,918.2410256,0.321862496,291298.1436,1.431676729,583.0871795,0.068661735,104378.7077,0.060209265,583.0871795,0.068661735,104378.7077,0.060209265,0,0,0,0,1970.94359,0.280754316,496031.5333,0.945723878,1052.702564,0.263891268,204733.3897,0.334477426,918.2410256,0.321862496,291298.1436,1.431676729
Netvue Camera (US1),2077.581267,0.919459337,425408.1873,0.952123221,1003.719008,0.87098428,94631.32782,0.797594528,1073.862259,0.964783843,330776.8595,0.996423046,1791.421488,1.078620897,378387.854,1.07858723,822.5647383,1.078678505,71383.77135,1.078648853,968.8567493,1.078582192,307004.0826,1.078575841,286.1597796,0.104265221,47020.33333,0.169845022,181.15427,0.096836367,23247.55647,0.135620469,105.0055096,0.118045402,23772.77686,0.241120099
TP-Link Plug (US1),49.75482094,0.203202977,5917.68595,0.570964947,32.90358127,0.202453052,3739.639118,0.316150854,16.85123967,0.211815117,2178.046832,1.135763833,0.909090909,1.507623354,587.2727273,1.507623354,0.909090909,1.507623354,587.2727273,1.507623354,0,0,0,0,48.84573003,0.206727922,5330.413223,0.619918325,31.99449036,0.206071314,3152.366391,0.264483352,16.85123967,0.211815117,2178.046832,1.135763833
HoloLens 2 (US2),357.7569061,1.46972757,130871.2265,3.166911606,219.5801105,1.138061289,43147.90055,1.266544036,138.1767956,2.04898882,87723.32597,4.290460255,69.24309392,0.894576179,10556.23204,0.918365171,69.24309392,0.894576179,10556.23204,0.918365171,0,0,0,0,288.5138122,1.77912238,120314.9945,3.435390264,150.3370166,1.555944561,32591.66851,1.610978953,138.1767956,2.04898882,87723.32597,4.290460255
MagicLeap (US2),22.29813665,6.965784289,8433.763975,7.619519191,12.14285714,6.884872465,4541.111801,7.020949389,10.1552795,7.06879411,3892.652174,8.474483372,0,0,0,0,0,0,0,0,0,0,0,0,22.29813665,6.965784289,8433.763975,7.619519191,12.14285714,6.884872465,4541.111801,7.020949389,10.1552795,7.06879411,3892.652174,8.474483372
Metaquest 1 (US2),39364.39227,9.448885028,55838937.61,10.74742377,21116.42541,9.342283092,6403011.077,3.055412221,18247.96685,9.572658674,49435926.54,11.79495836,0,0,0,0,0,0,0,0,0,0,0,0,39364.39227,9.448885028,55838937.61,10.74742377,21116.42541,9.342283092,6403011.077,3.055412221,18247.96685,9.572658674,49435926.54,11.79495836
Metaquest 2 (US2),1126.403315,1.019090167,662066.0939,1.415551109,555.7403315,1.016347748,482527.663,1.072703877,570.6629834,1.023570482,179538.4309,3.647599568,0,0,0,0,0,0,0,0,0,0,0,0,1126.403315,1.019090167,662066.0939,1.415551109,555.7403315,1.016347748,482527.663,1.072703877,570.6629834,1.023570482,179538.4309,3.647599568
Roborock S7 (US2),1119.880952,0.094530302,133391.9821,0.218939548,986.1785714,0.061909032,116851.369,0.135310105,133.702381,0.348857404,16540.6131,0.862177974,730.9761905,0.025424846,88448.11905,0.025424846,730.9761905,0.025424846,88448.11905,0.025424846,0,0,0,0,388.9047619,0.265335561,44943.8631,0.647796075,255.202381,0.222351277,28403.25,0.548647168,133.702381,0.348857404,16540.6131,0.862177974
