Interval,Frames,Bytes
0 <> 21600,63444,18011187
21600 <> 43200,64228,19210662
43200 <> 64800,60804,16921428
64800 <> 86400,58967,15260965
86400 <> 108000,59112,15226282
108000 <> 129600,59248,15328029
129600 <> 151200,60609,16514665
151200 <> 172800,59798,15671313
172800 <> 194400,60512,16021398
194400 <> 216000,65294,19282590
216000 <> Dur,17857,5074448
