MAC,Type,TotalCount,DiscoveryCount,DiscoveryPct,ManagementCount,ManagementPct,EncryptedCount,EncryptedPct,NonEncryptedCount,NonEncryptedPct,UnknownCount,UnknownPct
B0:C5:54:4A:30:B0,ALL,141747,601,0.004239948640888344,4,2.8219292119057193e-05,140922,0.9941797710004444,220,0.0015520610665481457,0,0.0
B0:C5:54:4A:30:B0,LAN,601,601,1.0,0,0.0,0,0.0,0,0.0,0,0.0
B0:C5:54:4A:30:B0,WAN,141146,0,0.0,4,2.8339449931276834e-05,140922,0.9984129908038485,220,0.001558669746220226,0,0.0
FC:49:2D:34:98:28,ALL,3126459,29758,0.009518116181916987,2325028,0.7436617591978657,708080,0.22647986108245782,63593,0.02034026353775949,0,0.0
FC:49:2D:34:98:28,LAN,2766225,28518,0.010309356614158284,2325018,0.8405021283518151,376320,0.13604099449610932,36369,0.013147520537917198,0,0.0
FC:49:2D:34:98:28,WAN,355569,0,0.0,10,2.8123936563648688e-05,331760,0.9330397194356088,23799,0.0669321566278275,0,0.0
40:A2:DB:2C:8A:68,ALL,3140154,48332,0.015391601813159482,2325066,0.7404305648703854,755510,0.24059648030001077,11246,0.0035813530164444164,0,0.0
40:A2:DB:2C:8A:68,LAN,2756974,48332,0.01753081458149406,2325018,0.8433224252386856,376320,0.1364974787575073,7304,0.0026492814223130143,0,0.0
40:A2:DB:2C:8A:68,WAN,383180,0,0.0,48,0.0001252674983036693,379190,0.9895871392035075,3942,0.010287593298188841,0,0.0
A4:77:33:DF:C2:4D,ALL,2763842,174201,0.06302856675598678,1545557,0.5592059893438193,959544,0.34717758829918643,84540,0.030587855601007585,0,0.0
A4:77:33:DF:C2:4D,LAN,2427569,174201,0.07175944329491768,1544249,0.6361298072269007,645926,0.2660793575795374,63193,0.02603139189864428,0,0.0
A4:77:33:DF:C2:4D,WAN,336273,0,0.0,1308,0.003889696764236201,313618,0.9326291435827437,21347,0.06348115965302002,0,0.0
F4:CF:A2:0C:41:F6,ALL,54558,28034,0.5138384838153891,0,0.0,26524,0.4861615161846109,0,0.0,0,0.0
F4:CF:A2:0C:41:F6,LAN,14017,14017,1.0,0,0.0,0,0.0,0,0.0,0,0.0
F4:CF:A2:0C:41:F6,WAN,26524,0,0.0,0,0.0,26524,1.0,0,0.0,0,0.0
64:16:66:4A:65:71,ALL,151402,0,0.0,511,0.0033751205400192863,150891,0.9966248794599807,0,0.0,0,0.0
64:16:66:4A:65:71,LAN,0,0,0,0,0,0,0,0,0,0,0
64:16:66:4A:65:71,WAN,151402,0,0.0,511,0.0033751205400192863,150891,0.9966248794599807,0,0.0,0,0.0
20:DF:B9:3B:00:90,ALL,2620307,182248,0.06955215552986731,1373205,0.5240626384618291,1003003,0.3827807199690723,61851,0.023604486039231282,0,0.0
20:DF:B9:3B:00:90,LAN,2138782,182248,0.08521111548535569,1371793,0.6413898190652437,545686,0.2551386723845628,39055,0.018260393064837836,0,0.0
20:DF:B9:3B:00:90,WAN,393544,0,0.0,1412,0.003587908848819954,369336,0.938487183135812,22796,0.05792490801536804,0,0.0
64:16:66:BE:44:9C,ALL,136061,0,0.0,243,0.0017859636486575875,135777,0.9979127009209104,41,0.00030133543043193864,0,0.0
64:16:66:BE:44:9C,LAN,0,0,0,0,0,0,0,0,0,0,0
