Device,ProtocolType,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,PacketsPctFirst,BytesPctFirst,TxPacketsPctFirst,TxBytesPctFirst,RxPacketsPctFirst,RxBytesPctFirst,PacketsPctSupport,BytesPctSupport,TxPacketsPctSupport,TxBytesPctSupport,RxPacketsPctSupport,RxBytesPctSupport,PacketsPctThird,BytesPctThird,TxPacketsPctThird,TxBytesPctThird,RxPacketsPctThird,RxBytesPctThird,PacketsPctLocal,BytesPctLocal,TxPacketsPctLocal,TxBytesPctLocal,RxPacketsPctLocal,RxBytesPctLocal
Roborock S7 (US2),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roborock S7 (US2),Encrypted,65336,7550569,42874,4771746,22462,2778823,0.98048549,0.934261113,0.981340673,0.969638786,0.978853174,0.873511195,0,0,0,0,0,0,0.01951451,0.065738887,0.018659327,0.030361214,0.021146826,0.126488805,0,0,0,0,0,0
Roborock S7 (US2),Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roborock S7 (US2),Unencrypted,122804,14859284,122804,14859284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Metaquest 2 (US2),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest 2 (US2),Encrypted,210617,121366148,104259,87841955,106358,33524193,0.998998182,0.999397929,0.998944935,0.999820928,0.999050377,0.998289564,0,0,0,0,0,0,0.001001818,0.000602071,0.001055065,0.000179072,0.000949623,0.001710436,0,0,0,0,0,0
Metaquest 2 (US2),Management,568,62280,284,31140,284,31140,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest 2 (US2),Unencrypted,101,10556,51,5716,50,4840,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest 1 (US2),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest 1 (US2),Encrypted,7123205,10106654337,3821198,1158846958,3302007,8947807379,0.999930649,0.999982338,0.999932482,0.999964043,0.999928528,0.999984708,0,0,0,0,0,0,6.93508E-05,1.76618E-05,6.75181E-05,3.59573E-05,7.14717E-05,1.52923E-05,0,0,0,0,0,0
Metaquest 1 (US2),Management,1434,157620,717,78810,717,78810,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest 1 (US2),Unencrypted,230,28527,115,15195,115,13332,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
MagicLeap (US2),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MagicLeap (US2),Encrypted,2947,1300623,1576,699901,1371,600722,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MagicLeap (US2),Management,28,2520,14,1260,14,1260,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MagicLeap (US2),Unencrypted,615,54693,365,29958,250,24735,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HoloLens 2 (US2),Discovery,12533,1910678,12533,1910678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
HoloLens 2 (US2),Encrypted,42434,15203077,23092,5529187,19342,9673890,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoloLens 2 (US2),Management,24,2160,12,1080,12,1080,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoloLens 2 (US2),Unencrypted,9763,6571777,4107,368825,5656,6202952,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Plug (US1),Discovery,330,213180,330,213180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
TP-Link Plug (US1),Encrypted,17000,1869150,11246,1111189,5754,757961,0.239941176,0.262397346,0.239551841,0.243821708,0.24070212,0.289629678,0.760058824,0.737602654,0.760448159,0.756178292,0.75929788,0.710370322,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Plug (US1),Management,731,65790,368,33120,363,32670,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TP-Link Plug (US1),Unencrypted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netvue Camera (US1),Discovery,650286,137354791,298591,25912309,351695,111442482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Netvue Camera (US1),Encrypted,94128,16171855,60071,8019773,34057,8152082,0.133870899,0.245643558,0.120773751,0.100845498,0.156972135,0.388091533,0.866129101,0.754356442,0.879226249,0.899154502,0.843027865,0.611908467,0,0,0,0,0,0,0,0,0,0,0,0
Netvue Camera (US1),Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netvue Camera (US1),Unencrypted,649400,136353090,293645,24433172,355755,111919918,0,0,0,0,0,0,0.015010779,0.006575033,0.019370328,0.017152501,0.011412348,0.004265872,0,0,0,0,0,0,0.984989221,0.993424967,0.980629672,0.982847499,0.988587652,0.995734128
Nest Mini (US1),Discovery,45794,9809002,45794,9809002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Nest Mini (US1),Encrypted,725076,183673493,387731,75798604,337345,107874889,0.981315062,0.992133399,0.982758665,0.988812116,0.979655842,0.994467109,2.75833E-06,7.18667E-07,5.15822E-06,1.74146E-06,0,0,0.01868218,0.007865882,0.017236177,0.011186143,0.020344158,0.005532891,0,0,0,0,0,0
Nest Mini (US1),Management,1554,170620,777,85310,777,85310,0.98970399,0.991560192,0.98970399,0.991560192,0.98970399,0.991560192,0.01029601,0.008439808,0.01029601,0.008439808,0.01029601,0.008439808,0,0,0,0,0,0,0,0,0,0,0,0
Nest Mini (US1),Unencrypted,139666,28462254,98719,20279862,40947,8182392,0.841708075,0.932425837,0.776051216,0.905161436,1,1,7.15994E-06,2.31886E-06,1.01298E-05,3.25446E-06,0,0,0,0,0,0,0,0,0.158284765,0.067571844,0.223938654,0.09483531,0,0
Metaquest Pro (US1),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest Pro (US1),Encrypted,995598,657072828,520061,190966227,475537,466106601,0.999571112,0.999756225,0.999611584,0.999827912,0.999526851,0.999726854,0.000428888,0.000243775,0.000388416,0.000172088,0.000473149,0.000273146,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest Pro (US1),Management,1038,97740,519,48870,519,48870,0.208092486,0.243093923,0.208092486,0.243093923,0.208092486,0.243093923,0.791907514,0.756906077,0.791907514,0.756906077,0.791907514,0.756906077,0,0,0,0,0,0,0,0,0,0,0,0
Metaquest Pro (US1),Unencrypted,287460,221928736,161438,121662813,126022,100265923,0.999161622,0.999884418,0.999250486,0.999888166,0.999047785,0.999879869,0.000838378,0.000115582,0.000749514,0.000111834,0.000952215,0.000120131,0,0,0,0,0,0,0,0,0,0,0,0
Litokam Camera (US1),Discovery,12,2646,5,1588,7,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Litokam Camera (US1),Encrypted,213978,21103638,118074,10415024,95904,10688614,0,0,0,0,0,0,0.999887839,0.999749238,0.999915307,0.999695056,0.999854021,0.999802032,0,0,0,0,0,0,0.000112161,0.000250762,8.46927E-05,0.000304944,0.000145979,0.000197968
Litokam Camera (US1),Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litokam Camera (US1),Unencrypted,1,74,0,0,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Hue Bridge (US1),Discovery,872052,213843061,578545,189366220,293507,24476841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Hue Bridge (US1),Encrypted,235370,31596641,118490,9970422,116880,21626219,0.825156137,0.922864269,0.82427209,0.871761797,0.826052361,0.946424245,0.174843863,0.077135731,0.17572791,0.128238203,0.173947639,0.053575755,0,0,0,0,0,0,0,0,0,0,0,0
Hue Bridge (US1),Management,5280,475200,2776,249840,2504,225360,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hue Bridge (US1),Unencrypted,766420,145692936,417164,117801838,349256,27891098,0.145612066,0.049167936,0.133882598,0.031826023,0.159622168,0.122413861,0,0,0,0,0,0,0,0,0,0,0,0,0.854387934,0.950832064,0.866117402,0.968173977,0.840377832,0.877586139
Govee Kettle (US1),Discovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Govee Kettle (US1),Encrypted,63695,6335156,42482,3737691,21213,2597465,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Govee Kettle (US1),Management,733,65970,369,33210,364,32760,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Govee Kettle (US1),Unencrypted,3521,1181759,1921,164947,1600,1016812,0.598977563,0.213763551,0.576262363,0.731847199,0.62625,0.129720145,0.401022437,0.786236449,0.423737637,0.268152801,0.37375,0.870279855,0,0,0,0,0,0,0,0,0,0,0,0
Echo Dot 5 (US1),Discovery,30007,5586916,15451,1510714,14556,4076202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Echo Dot 5 (US1),Encrypted,790947,403762321,417484,190343223,373463,213419098,0.960634531,0.736567464,0.9707893,0.995056535,0.949282794,0.506027446,0.039365469,0.263432536,0.0292107,0.004943465,0.050717206,0.493972554,0,0,0,0,0,0,0,0,0,0,0,0
Echo Dot 5 (US1),Management,32,2880,16,1440,16,1440,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Echo Dot 5 (US1),Unencrypted,60144,9063261,28375,2801904,31769,6261357,0.012752727,0.008331659,0.013568282,0.013989059,0.0120243,0.005800021,0.723496941,0.64635069,0.766837004,0.802729144,0.684787057,0.576372662,0,0,0,0,0,0,0.263750333,0.345317651,0.219594714,0.183281797,0.303188643,0.417827318
DreamGlass Air (US1),Discovery,103986,50807888,103978,50807247,8,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
DreamGlass Air (US1),Encrypted,156,52177,97,14738,59,37439,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
