IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
104.167.241.197,"None","None","None","None","CYBERPLANET, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
108.181.220.94,"None","None","None","None","AS40676, US","CA",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
108.61.73.243,"None","None","None","None","AS-VULTR, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
129.250.35.250,"None","None","None","None","NTT-LTD-2914, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
142.147.88.111,"None","None","None","None","XTOM, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
144.34.193.110,"None","None","None","None","IT7NET, CA","CA",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
162.159.200.1,"None","None","None","None","CLOUDFLARENET, US","US",pool.ntp.org,pool.ntp.org,None,None,6,540,3,270,3,270
162.159.200.123,"None","None","None","None","CLOUDFLARENET, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
171.66.97.126,"None","None","None","None","STANFORD, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
174.136.99.6,"None","None","None","None","ARPNET, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
174.53.169.69,"None","None","None","None","COMCAST-7922, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
198.30.92.2,"None","None","None","None","OARNET-AS, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
198.60.22.240,"None","None","None","None","XMISSION, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
203.107.6.88,"None","None","None","None","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN","CN",ntp.aliyun.com,ntp.aliyun.com,None,None,121,10890,60,5400,61,5490
204.17.205.8,"None","None","None","None","YKWC, US","US",pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
204.2.134.162,"None","None","None","None","NTT-LTD-2914, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
208.67.72.43,"None","None","None","None","BADCOCK-MUL, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
216.218.254.202,"None","None","None","None","HURRICANE, US","US",pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
216.229.4.66,"None","None","None","None","ASN7806, US","US",pool.ntp.org,pool.ntp.org,None,None,1,90,0,0,1,90
216.229.4.69,"None","None","None","None","ASN7806, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
216.239.35.0,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,44,3960,22,1980,22,1980
216.239.35.12,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,28,2520,14,1260,14,1260
216.239.35.4,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,24,2160,12,1080,12,1080
216.239.35.8,"None","None","None","None","GOOGLE, US","US",time.google.com,time.google.com,None,None,38,3420,19,1710,19,1710
216.31.17.12,"None","None","None","None","TEAM-CYMRU, US","US",pool.ntp.org,pool.ntp.org,None,None,4,360,2,180,2,180
217.180.209.214,"None","None","None","None","AS-CMN, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
23.141.40.123,"None","None","None","None","CODEHOF, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
23.95.169.235,"None","None","None","None","AS-COLOCROSSING, US","US",pool.ntp.org,pool.ntp.org,None,None,2,180,1,90,1,90
3.224.137.138,"None","None","None","None","AMAZON-AES, US","US",app.govee.com,app.govee.com,None,None,185,22534,88,11936,97,10598
