IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
120.25.115.20,"None","None","None","None","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN","CN",ntp1.aliyun.com,ntp1.aliyun.com,None,None,403,36270,146,13140,257,23130
203.107.6.88,"None","None","None","None","ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN","CN",None,None,None,None,362,32580,164,14760,198,17820
216.239.35.0,"None","None","None","None","GOOGLE, US","US",None,None,None,None,336,30240,168,15120,168,15120
216.239.35.12,"None","None","None","None","GOOGLE, US","US",None,None,None,None,336,30240,168,15120,168,15120
216.239.35.4,"None","None","None","None","GOOGLE, US","US",None,None,None,None,336,30240,168,15120,168,15120
216.239.35.8,"None","None","None","None","GOOGLE, US","US",None,None,None,None,336,30240,168,15120,168,15120
3.251.22.95,"Signify Netherlands B.V.","NL","None","None","AMAZON-02, US","US",data.meethue.com,data.meethue.com,None,None,110,37513,45,13518,65,23995
34.117.13.189,"None","None","None","None","GOOGLE-CLOUD-PLATFORM, US","US",ws.meethue.com,ws.meethue.com,None,None,51175,3250098,25568,1544856,25607,1705242
46.51.188.91,"Signify Netherlands B.V.","NL","None","None","AMAZON-02, US","IE",diag.meethue.com,diag.meethue.com,None,None,4241,951503,1918,476350,2323,475153
52.211.152.148,"Signify Netherlands B.V.","NL","None","None","AMAZON-02, US","US",data.meethue.com,data.meethue.com,None,None,217,81871,92,27144,125,54727
52.48.41.28,"Signify Netherlands B.V.","NL","None","None","AMAZON-02, US","US",diag.meethue.com,diag.meethue.com,None,None,3254,718692,1460,379597,1794,339095
54.216.117.174,"Signify Netherlands B.V.","NL","None","None","AMAZON-02, US","US",data.meethue.com,data.meethue.com,None,None,195,72501,80,22800,115,49701
74.125.201.206,"None","None","None","None","GOOGLE, US","US",mqtt.2030.ltsapis.goog,mqtt.2030.ltsapis.goog,None,None,35225,2082365,17402,988059,17823,1094306
74.125.69.206,"None","None","None","None","GOOGLE, US","US",mqtt.2030.ltsapis.goog,mqtt.2030.ltsapis.goog,None,None,5910,349565,2921,166213,2989,183352
99.80.116.23,"Signify Netherlands B.V.","NL","None","None","AMAZON-02, US","US",diag.meethue.com,diag.meethue.com,None,None,3693,813112,1669,418224,2024,394888
192.168.1.1,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,1766,368213,883,298962,883,69251
192.168.1.107,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,639562,135434556,287927,24011580,351635,111422976
192.168.1.109,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,7924,1605138,2900,241802,5024,1363336
224.0.0.251,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,14916,4872736,0,0,14916,4872736
239.255.255.250,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,69660,24450660,0,0,69660,24450660
fe80::eeb5:faff:fe99:ac15,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,14916,5171056,14916,5171056,0,0
ff02::fb,"Local","Local","Local","Local","Local","Local",N/A,N/A,Local,Local,14916,5171056,0,0,14916,5171056
