IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
13.32.145.49,"Sony Corporation","JP","None","None","AMAZON-02, US","US",bravia-cfgdst-ore-pro.bda.ndmdhs.com,bravia-cfgdst-ore-pro.bda.ndmdhs.com,None,None,23,8663,11,7205,12,1458
13.32.145.58,"Sony Corporation","JP","None","None","AMAZON-02, US","US",bravia-cfgdst-ore-pro.bda.ndmdhs.com,bravia-cfgdst-ore-pro.bda.ndmdhs.com,None,None,95,34665,44,28635,51,6030
142.250.110.188,"None","None","None","None","GOOGLE, US","US",mtalk.google.com,mtalk.google.com,None,None,1764,306597,903,236386,861,70211
142.250.178.131,"None","None","None","None","GOOGLE, US","US",connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,None,None,6690,1432323,2332,449686,4358,982637
142.250.178.138,"None","None","None","None","GOOGLE, US","US",mdh-pa.googleapis.com,mdh-pa.googleapis.com,None,None,2579,928539,1271,599477,1308,329062
142.250.178.142,"None","None","None","None","GOOGLE, US","US",clients3.google.com,clients3.google.com,None,None,13139,8800296,5657,6176062,7482,2624234
142.250.179.106,"None","None","None","None","GOOGLE, US","US",android.googleapis.com,android.googleapis.com,None,None,2974,1127693,1477,690841,1497,436852
142.250.179.110,"None","None","None","None","GOOGLE, US","US",android.clients.google.com,android.clients.google.com,None,None,901,707220,361,577468,540,129752
142.250.179.67,"None","None","None","None","GOOGLE, US","US",clientservices.googleapis.com,clientservices.googleapis.com,None,None,19,7102,8,5659,11,1443
142.250.179.74,"None","None","None","None","GOOGLE, US","US",android.googleapis.com,android.googleapis.com,None,None,3656,1511552,1823,998262,1833,513290
142.250.179.78,"None","None","None","None","GOOGLE, US","US",play-fe.googleapis.com,play-fe.googleapis.com,None,None,815,447866,407,171678,408,276188
142.250.179.99,"None","None","None","None","GOOGLE, US","US",clientservices.googleapis.com,clientservices.googleapis.com,None,None,16097,3731770,6197,1668719,9900,2063051
142.250.201.163,"None","None","None","None","GOOGLE, US","US",clientservices.googleapis.com,clientservices.googleapis.com,None,None,521,108535,256,61906,265,46629
142.250.201.170,"None","None","None","None","GOOGLE, US","US",android.googleapis.com,android.googleapis.com,None,None,2681,1218173,1329,795353,1352,422820
