IP, Cert Owner, Cert Location, WHOIS Owner, WHOIS Location, ASN Owner, ASN Location, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
174.129.165.207,"None","None","None","None","AMAZON-AES, US","US",det-ta-g7g.amazon.com,det-ta-g7g.amazon.com,None,None,732,656787,272,27006,460,629781
174.129.198.40,"None","None","None","None","AMAZON-AES, US","US",acsechocaptiveportal.com,acsechocaptiveportal.com,None,None,60,5874,30,2856,30,3018
174.129.99.38,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1135,749108,488,93977,647,655131
176.32.101.46,"None","None","None","None","AMAZON-02, US","IE",device-messaging-na.amazon.com,device-messaging-na.amazon.com,None,None,26,10121,11,6783,15,3338
176.32.98.108,"None","None","None","None","AMAZON-02, US","IE",device-messaging-na.amazon.com,device-messaging-na.amazon.com,None,None,84,31417,33,20541,51,10876
18.154.230.100,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,2482,334188,1241,205906,1241,128282
18.154.230.133,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,2640,355608,1320,219120,1320,136488
18.154.230.19,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,2600,350220,1300,215800,1300,134420
18.154.230.60,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,2690,362343,1345,223270,1345,139073
18.155.255.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,12326,4804112,5028,3835303,7298,968809
18.160.14.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,522,202199,217,161147,305,41052
18.160.2.68,"None","None","None","None","AMAZON-02, US","US",d1s31zyz7dcc2d.cloudfront.prod.ota-cloudfront.net,d1s31zyz7dcc2d.cloudfront.prod.ota-cloudfront.net,None,None,23158,103633202,16241,103157764,6917,475438
18.160.224.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,62,20186,25,14975,37,5211
18.160.29.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,183,58004,77,42725,106,15279
18.160.44.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,4794,1881249,1936,1503460,2858,377789
18.160.45.108,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,30,4041,15,2490,15,1551
18.160.45.16,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,70,9429,35,5810,35,3619
18.160.45.164,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,40,5388,20,3320,20,2068
18.160.45.68,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,80,10776,40,6640,40,4136
18.164.106.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,37,11899,15,8780,22,3119
18.164.115.101,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,10,1347,5,830,5,517
18.164.115.11,"None","None","None","None","AMAZON-02, US","US",d3vcwwaauek8as.cloudfront.net,d3vcwwaauek8as.cloudfront.net,None,None,48,106978,22,104442,26,2536
18.164.115.37,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,10,1347,5,830,5,517
18.164.121.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,261,81336,112,60184,149,21152
18.164.131.162,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,30,4040,15,2489,15,1551
18.164.131.179,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,50,6731,25,4146,25,2585
18.164.131.217,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,10,1346,5,829,5,517
18.164.131.9,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,30,4039,15,2488,15,1551
18.165.90.74,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,475,159120,201,121446,274,37674
18.173.129.67,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,1899,735432,776,586806,1123,148626
18.173.130.122,"None","None","None","None","AMAZON-02, US","US",d2zprwa9w8uwyf.cloudfront.net,d2zprwa9w8uwyf.cloudfront.net,None,None,34,20025,11,17395,23,2630
18.207.54.203,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,798,567638,347,72110,451,495528
18.210.212.45,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,343,233675,134,33388,209,200287
18.211.16.10,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,417,256814,178,36328,239,220486
18.213.161.240,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,1443,1010877,599,125486,844,885391
18.213.189.227,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,295,196858,116,26389,179,170469
18.214.180.6,"None","None","None","None","AMAZON-AES, US","US",device-metrics-us-2.amazon.com,device-metrics-us-2.amazon.com,None,None,6626,2768645,2815,960033,3811,1808612
18.232.22.81,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,336,216815,128,26856,208,189959
18.235.119.188,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,224,146621,92,24480,132,122141
18.235.197.135,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,741,506150,315,63778,426,442372
18.238.54.67,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,43,14878,17,10973,26,3905
18.238.59.198,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,10,1345,5,828,5,517
18.238.59.69,"None","None","None","None","AMAZON-02, US","US",d3p8zr0ffa9t17.cloudfront.net,d3p8zr0ffa9t17.cloudfront.net,None,None,20,2689,10,1655,10,1034
18.67.73.76,"None","None","None","None","AMAZON-02, US","US",api.amazonalexa.com,api.amazonalexa.com,None,None,10368,4049389,4237,3236533,6131,812856
184.73.106.63,"None","None","None","None","AMAZON-AES, US","US",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,None,None,337,230586,158,35032,179,195554
209.54.177.117,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,104,32628,42,24248,62,8380
209.54.177.153,"None","None","None","None","AMAZON-02, US","US",api.amazon.com,api.amazon.com,None,None,103,32574,43,24302,60,8272
