SourceDevice,PacketsOverall,BytesOverall,TxPacketsOverall,TxBytesOverall,RxPacketsOverall,RxBytesOverall,TargetDevice,PacketsToTargetPct,BytesToTargetPct,TxPacketsToTargetPct,TxBytesToTargetPct,RxPacketsToTargetPct,RxBytesToTargetPct
Roborock S7 (US2),122804,14859284,122804,14859284,0,0,Local Broadcast,1,1,1,1,0,0
HoloLens 2 (US2),12533,1910678,12533,1910678,0,0,Local Multicast,1,1,1,1,0,0
TP-Link Plug (US1),330,213180,330,213180,0,0,Local (Echo Dot 5),1,1,1,1,0,0
Netvue Camera (US1),650286,137354791,298591,25912309,351695,111442482,Local Broadcast,0.016352805,0.013819882,0.035613933,0.073255803,0,0
Netvue Camera (US1),650286,137354791,298591,25912309,351695,111442482,Local (Hue Bridge),0.983647195,0.986180118,0.964386067,0.926744197,1,1
Nest Mini (US1),67901,11732249,67901,11732249,0,0,Local Broadcast,0.162898926,0.08201846,0.162898926,0.08201846,0,0
Nest Mini (US1),67901,11732249,67901,11732249,0,0,Local Multicast,0.837101074,0.91798154,0.837101074,0.91798154,0,0
Litokam Camera (US1),13,2720,5,1588,8,1132,Local (Hue Bridge),0.923076923,0.972794118,1,1,0.875,0.934628975
Litokam Camera (US1),13,2720,5,1588,8,1132,Local (Echo Dot 5),0.076923077,0.027205882,0,0,0.125,0.065371025
Hue Bridge (US1),872052,213843061,578545,189366220,293507,24476841,Local Broadcast,0.192504575,0.273850336,0.290165847,0.309247309,0,0
Hue Bridge (US1),872052,213843061,578545,189366220,293507,24476841,Local Multicast,0.056599836,0.078340405,0.085314021,0.088466422,0,0
Hue Bridge (US1),872052,213843061,578545,189366220,293507,24476841,Local (Netvue),0.733502131,0.633439137,0.607895669,0.588502437,0.981090741,0.981094006
Hue Bridge (US1),872052,213843061,578545,189366220,293507,24476841,Local (Echo Dot 5),0.017393458,0.014370123,0.016624463,0.013783831,0.018909259,0.018905994
Echo Dot 5 (US1),21262,3905465,11300,1076119,9962,2829346,Local Broadcast,0.079296397,0.050246514,0.14920354,0.182355297,0,0
Echo Dot 5 (US1),21262,3905465,11300,1076119,9962,2829346,Local Multicast,0.190715831,0.106622131,0.358849558,0.386954417,0,0
Echo Dot 5 (US1),21262,3905465,11300,1076119,9962,2829346,Local (TP-Link Plug),0.015520647,0.054585049,0,0,0.033125878,0.075346034
Echo Dot 5 (US1),21262,3905465,11300,1076119,9962,2829346,Local (Hue Bridge),0.713432415,0.786852526,0.491238938,0.430094627,0.965468781,0.922542524
Echo Dot 5 (US1),21262,3905465,11300,1076119,9962,2829346,Local (Dreamglass Air),0.00103471,0.00169378,0.000707965,0.000595659,0.00140534,0.002111442
DreamGlass Air (US1),103986,50807888,103978,50807247,8,641,Local Broadcast,0.944482911,0.852535831,0.944555579,0.852546587,0,0
DreamGlass Air (US1),103986,50807888,103978,50807247,8,641,Local Multicast,0.055305522,0.147333973,0.055309777,0.147335832,0,0
DreamGlass Air (US1),103986,50807888,103978,50807247,8,641,Local (Echo Dot 5),0.000211567,0.000130196,0.000134644,0.000117582,1,1
TP-Link Plug (FR),64050,22796747,40862,21494314,23188,1302433,Local (Nest Mini),0.211225605,0.274831361,0.236258627,0.283552245,0.167112299,0.130908845
TP-Link Plug (FR),64050,22796747,40862,21494314,23188,1302433,Local (Google Speaker),0.218516784,0.276015346,0.236527825,0.283874517,0.186777644,0.14631386
TP-Link Plug (FR),64050,22796747,40862,21494314,23188,1302433,Local (Echo Show 5),0.28657299,0.225019473,0.264475552,0.216589653,0.325513196,0.364138501
TP-Link Plug (FR),64050,22796747,40862,21494314,23188,1302433,Local (Echo Dot 3),0.283684621,0.22413382,0.262737996,0.215983585,0.32059686,0.358638794
TP-Link Light (FR),56570,33288991,39444,32371172,17126,917819,Local (Nest Mini),0.229573979,0.30331469,0.23699422,0.306968311,0.212483943,0.174452697
TP-Link Light (FR),56570,33288991,39444,32371172,17126,917819,Local (Google Speaker),0.239155029,0.305377955,0.238109725,0.308413177,0.241562536,0.198326685
TP-Link Light (FR),56570,33288991,39444,32371172,17126,917819,Local (Echo Show 5),0.266006717,0.195673579,0.262879018,0.192322539,0.273210323,0.313863627
