IP,Hostname,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.1.109,None,None,None,483602,278515273,257243,107131746,226359,171383527
"44.199.80.228,3.223.181.245,3.217.147.217,35.175.71.102,54.167.177.211",avs-alexa-14-na.amazon.com,United States,US;US;US;US;US;US;US,86857,13537009,52430,6045209,34427,7491800
18.160.2.68,d1s31zyz7dcc2d.cloudfront.prod.ota-cloudfront.net,United States,US;US;US;US;US,23182,103837930,16267,103362624,6915,475306
"3.162.122.67,108.138.74.73,3.162.107.67,18.155.255.74,18.67.73.76,18.160.44.74,13.35.91.74,18.173.129.67,108.139.43.67,52.85.138.76,18.160.14.74,18.165.90.74,18.164.121.74,18.160.29.74,3.162.152.67,108.156.87.76,18.164.106.74",api.amazonalexa.com,United States,US;US;US;US;US;US;US,80077,30900757,32636,24604738,47441,6296019
"54.164.163.115,54.221.200.137,44.198.224.47,54.242.128.35,54.205.24.65,34.237.111.59,54.166.21.152,54.91.103.251,44.199.138.71,52.202.2.34,18.214.180.6,34.195.175.66,54.243.58.104,44.199.52.214,3.227.83.236,52.20.206.121,54.157.203.98,44.193.236.65",device-metrics-us-2.amazon.com,United States,US;US;US;US;US,137375,57835284,58661,19823010,78714,38012274
192.168.1.1,None,None,None,10646,3184717,5323,2729686,5323,455031
192.168.1.106,None,None,None,7924,1605138,5024,1363336,2900,241802
"50.19.211.146,54.173.30.23,52.1.112.15,54.145.27.211",prod.amcs-tachyon.com,United States,US;US;US;US;US;US;US,14177,1269358,4793,488098,9384,781260
52.7.51.52,ec2-52-7-51-52.compute-1.amazonaws.com.,United States,None,5862,510988,1984,191053,3878,319935
"52.1.13.168,35.168.107.239,52.7.177.117,3.223.143.190,34.233.92.120,3.221.133.8,3.228.250.146,52.72.230.1,3.232.74.135,18.213.161.240,23.21.145.114,3.220.143.138,54.224.227.209,54.243.177.4,52.0.132.2,34.195.75.243,174.129.99.38,54.156.53.87,52.6.74.78,107.22.14.153,54.80.106.159,23.21.206.89,52.206.63.5,34.237.132.195,3.215.39.39,34.231.189.116,3.216.253.228,34.192.220.80,18.207.54.203,52.44.167.205,34.204.243.65,54.162.190.244,18.235.197.135,52.73.91.15,52.20.35.77,3.212.135.104,52.72.103.43,34.197.2.60,54.197.158.192,35.171.131.47,34.198.118.136,34.192.16.177,54.172.134.242,107.22.99.156,35.170.106.229,3.208.249.246,34.192.13.52,3.217.87.82,52.87.113.159,34.202.218.137,54.89.69.55,34.202.142.223,52.205.8.123,3.217.242.198,54.236.164.208,75.101.214.154,54.235.196.32,34.204.112.11,44.210.26.46,54.80.246.0,34.237.168.2,54.210.218.16,35.175.15.29,18.211.16.10,34.194.133.227,34.232.197.232,52.21.73.245,35.153.59.65,3.216.15.108,52.202.137.76,34.233.130.158,34.192.221.115,44.213.182.62,3.230.107.109,34.196.11.147,34.239.217.28,54.161.161.91,3.226.110.1,44.198.222.141,54.237.184.2,34.206.214.211,52.54.58.187,35.172.38.131,52.204.162.249,35.170.129.4,34.197.162.81,34.227.237.177,54.173.158.101,34.234.196.234,18.210.212.45,3.227.30.202,184.73.106.63,18.232.22.81,3.209.117.130,54.196.177.111,54.210.193.118,34.195.11.125,54.84.118.144,34.237.59.67,52.20.194.35,44.198.237.39,54.83.254.153,52.205.217.56,54.157.128.18,54.86.184.230,34.197.224.184,34.225.229.108,107.22.28.41,50.19.73.171,54.210.56.174,18.213.189.227,44.215.64.21,52.201.102.113,34.204.131.233,35.168.204.160,18.235.119.188,52.3.52.176,54.92.151.136,3.212.187.249,3.230.111.127",A4ZXE0RM7LQ7A.us-east-1.prod.service.minerva.devices.a2z.com,United States,US;US;US;US;US;US;US,82744,57170037,34225,7181368,48519,49988669
"18.154.230.60,18.154.230.133,18.154.230.19,18.154.230.100,3.162.130.154,3.162.130.150,3.162.130.91,3.162.130.209,108.138.125.194,108.138.125.198,13.225.66.162,108.138.125.14,13.225.66.84,108.138.125.193,13.225.66.127,3.162.93.102,3.162.93.201,13.225.66.219,3.162.93.159,3.162.93.101,18.160.45.68,18.160.45.16,108.138.61.34,18.164.131.179,108.138.82.9,18.160.45.164,18.164.131.162,18.160.45.108,108.138.82.54,18.164.131.9,108.138.61.102,18.238.59.69,108.138.61.8,3.162.159.115,54.230.244.171,54.230.139.132,54.230.125.126,13.225.189.40,13.225.189.62,108.138.82.203,18.238.59.198,3.162.159.2,18.164.131.217,108.139.46.212,54.230.244.67,18.164.115.101,18.164.115.37,54.230.244.99,13.226.36.71",d3p8zr0ffa9t17.cloudfront.net,United States,None,20148,2712572,10074,1671257,10074,1041315
224.0.0.251,mdns.mcast.net.,None,None,1800,183201,0,0,1800,183201
8.8.8.8,dns.google.,United States,None,1014,126412,507,82867,507,43545
"174.129.165.207,52.54.36.84",det-ta-g7g.amazon.com,United States,US;US;US;US;US,1033,1005564,394,44100,639,961464
239.255.255.250,None,None,None,528,78780,0,0,528,78780
255.255.255.255,None,None,None,348,25926,0,0,348,25926
"209.54.180.25,52.94.240.240,209.54.177.157,52.46.131.184,209.54.180.27,209.54.178.164,52.46.131.209,52.94.231.169,52.46.149.29,52.119.198.189,209.54.178.166,209.54.178.134,52.46.146.126,54.239.27.82,52.46.149.20,52.119.198.2,52.46.128.81,52.46.149.57,52.94.241.146,52.46.131.169,209.54.179.88,209.54.181.4,72.21.207.143,52.119.198.109,209.54.177.117,52.119.198.118,209.54.177.153,52.119.198.101,52.46.155.112,52.119.198.186,52.94.242.236,52.46.158.193,209.54.177.154,52.46.143.123,209.54.181.98,209.54.179.93,52.119.198.106,209.54.180.44,52.119.196.31",api.amazon.com,United States,US;US;US;US;US,4654,1433289,1916,1065263,2738,368026
"52.85.150.30,52.85.150.196,52.85.150.105,52.85.150.204,18.164.115.11",d3vcwwaauek8as.cloudfront.net,United States,None,737,1223150,263,1178414,474,44736
192.168.1.116,None,None,None,173,111758,173,111758,0,0
"13.32.207.108,13.32.207.83,13.32.207.48,13.32.207.122,18.173.130.122",d2zprwa9w8uwyf.cloudfront.net,United States,None,454,278875,145,242868,309,36007
"34.202.15.246,44.207.13.168,174.129.198.40,52.72.222.201,52.45.81.130,3.94.156.137,3.210.237.141,34.201.186.142,3.218.84.31,52.203.60.72,3.224.206.139,44.194.145.88,3.230.12.86",acsechocaptiveportal.com,United States,None,611,60055,305,29036,306,31019
"3.5.10.117,52.217.88.140",dcm-allowlist-filter-prod.s3.amazonaws.com,United States,US;US;US;US;US;US;US,177,189158,59,180096,118,9062
"44.215.139.77,44.215.114.101",softwareupdates.amazon.com,United States,US;US;US;US;US,212,68868,87,48706,125,20162
