IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.1.105,None,188140,22409853,165678,19631030,22462,2778823
192.168.1.255,None,122804,14859284,0,0,122804,14859284
34.234.52.98,mqtt-us.roborock.com,18403,2024655,6327,672031,12076,1352624
3.90.90.68,mqtt-us.roborock.com,9258,1042905,3201,341389,6057,701516
34.235.101.245,mqtt-us.roborock.com,9185,1022808,3167,333612,6018,689196
52.71.187.249,mqtt-us.roborock.com,8887,928143,3015,312303,5872,615840
52.20.174.99,mqtt-us.roborock.com,8870,927551,2993,311009,5877,616542
35.153.215.199,ec2-35-153-215-199.compute-1.amazonaws.com.,6520,681804,2189,225388,4331,456416
34.233.80.41,mqtt-us.roborock.com,2228,232627,769,81611,1459,151016
52.10.34.30,awsusor0.fds.api.xiaomi.com,488,191036,180,134877,308,56159
52.39.3.194,awsusor0.fds.api.xiaomi.com,451,176119,173,121735,278,54384
44.240.201.23,awsusor0.fds.api.xiaomi.com,336,129211,122,94878,214,34333
34.205.36.44,api-us.roborock.com,93,25438,42,19828,51,5610
52.45.3.7,api-us.roborock.com,92,25364,41,19762,51,5602
34.237.160.2,api-us.roborock.com,72,19179,33,14922,39,4257
44.205.149.15,api-us.roborock.com,49,12896,23,10058,26,2838
3.224.109.93,api-us.roborock.com,49,12884,23,10046,26,2838
54.211.87.187,api-us.roborock.com,49,12896,23,10058,26,2838
34.198.156.152,api-us.roborock.com,47,12752,22,9980,25,2772
3.234.117.239,api-us.roborock.com,46,12686,21,9914,25,2772
54.145.128.172,api-us.roborock.com,26,7445,12,5431,14,2014
44.196.175.243,api-us.roborock.com,24,6957,11,4968,13,1989
52.204.167.93,api-us.roborock.com,24,6393,11,4974,13,1419
107.23.177.41,api-us.roborock.com,24,6393,11,4974,13,1419
34.203.110.85,api-us.roborock.com,24,6393,11,4974,13,1419
3.208.250.187,api-us.roborock.com,23,7119,10,5245,13,1874
18.215.77.229,api-us.roborock.com,23,6327,11,4974,12,1353
3.218.40.177,api-us.roborock.com,23,6327,11,4974,12,1353
52.7.76.233,api-us.roborock.com,22,6261,10,4908,12,1353
