IP,Hostname,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.231.200,None,None,None,26614,10703938,18416,9932517,8198,771421
34.249.57.3,ec2-34-249-57-3.eu-west-1.compute.amazonaws.com.,Ireland,None,14251,1354958,4801,537793,9450,817165
192.168.231.192,None,None,None,5905,4553886,1691,74404,4214,4479482
192.168.231.223,None,None,None,5494,4529688,1286,56584,4208,4473104
192.168.231.1,None,None,None,560,110340,280,90040,280,20300
192.168.231.171,None,None,None,67,71221,0,0,67,71221
192.168.231.108,None,None,None,55,58465,0,0,55,58465
"162.159.200.123,162.159.200.1",pool.ntp.org,None,None,34,3060,17,1530,17,1530
"5.39.80.51,193.52.136.2,82.64.131.93,82.64.45.50,176.137.36.37,129.151.225.244,51.15.182.163,51.68.44.27,51.178.79.86,51.158.181.205,92.243.6.5,5.196.160.139,95.81.173.74,54.38.114.34,51.38.81.135,194.177.34.116,51.158.147.92,212.85.158.10,91.224.149.41,94.23.215.121,51.38.113.118,82.64.247.11,146.59.35.38,195.154.226.102,82.64.230.205,79.143.250.33,51.255.95.80,212.83.158.83,163.172.108.143,213.251.128.249,92.222.227.225,51.15.191.239,5.196.8.113,146.59.88.209,188.165.49.6,91.121.165.46,164.132.166.29,5.135.153.35,51.15.177.17,176.31.251.158,95.81.173.155,178.32.23.17,146.59.30.179,149.202.2.105,51.68.180.114,178.33.41.123,93.1.195.48,94.23.21.189,185.254.100.25,192.162.70.70,37.59.63.125,37.187.20.28,51.38.99.44,51.255.141.76,195.83.132.135",pool.ntp.org,France,None,238,21420,118,10620,120,10800
"129.250.35.250,129.250.35.251",pool.ntp.org,United States,None,8,720,4,360,4,360
51.75.17.219,pool.ntp.org,Saudi Arabia,None,2,180,1,90,1,90
