IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.231.108,None,1369076,187639157,684211,77576513,684865,110062644
192.168.231.171,None,1156003,92917093,590490,54905720,565513,38011373
52.222.195.41,api.eu.amazonalexa.com,25160,29355924,8573,27998433,16587,1357491
18.155.120.74,api.amazonalexa.com,12940,4254685,6037,3241346,6903,1013339
18.203.57.224,avs-alexa-14-eu.amazon.com,11808,1352020,7308,772729,4500,579291
52.16.104.93,avs-alexa-14-eu.amazon.com,11264,1288155,6989,732399,4275,555756
52.214.227.89,avs-alexa-14-eu.amazon.com,9038,1035192,5601,591469,3437,443723
54.211.64.190,ec2-54-211-64-190.compute-1.amazonaws.com.,8481,739522,2863,276037,5618,463485
192.168.231.112,None,6664,892059,2776,647763,3888,244296
54.243.58.104,device-metrics-us-2.amazon.com,5830,2420245,2488,803940,3342,1616305
34.195.175.66,device-metrics-us-2.amazon.com,5567,2286044,2350,762846,3217,1523198
54.221.200.137,device-metrics-us-2.amazon.com,4315,1777778,1813,594117,2502,1183661
44.199.52.214,device-metrics-us-2.amazon.com,4226,1746897,1777,581079,2449,1165818
3.227.83.236,device-metrics-us-2.amazon.com,3807,1563342,1579,514725,2228,1048617
52.202.2.34,device-metrics-us-2.amazon.com,3758,1578807,1591,531486,2167,1047321
54.205.24.65,device-metrics-us-2.amazon.com,3725,1520091,1574,525033,2151,995058
192.168.1.2,None,3566,228224,1783,96282,1783,131942
54.164.163.115,device-metrics-us-2.amazon.com,3302,1356516,1408,471429,1894,885087
54.91.103.251,device-metrics-us-2.amazon.com,3295,1360206,1377,464052,1918,896154
44.193.236.65,device-metrics-us-2.amazon.com,3187,1275666,1353,451806,1834,823860
34.237.111.59,device-metrics-us-2.amazon.com,3151,1272747,1337,445419,1814,827328
44.198.224.47,device-metrics-us-2.amazon.com,3144,1260832,1333,445155,1811,815677
18.214.180.6,device-metrics-us-2.amazon.com,2999,1231642,1270,425004,1729,806638
44.199.138.71,device-metrics-us-2.amazon.com,2949,1209634,1250,413022,1699,796612
52.20.206.121,device-metrics-us-2.amazon.com,2821,1157648,1184,387342,1637,770306
54.166.21.152,device-metrics-us-2.amazon.com,2754,1103792,1166,391497,1588,712295
18.66.165.150,api.eu.amazonalexa.com,2460,3061592,1037,2939913,1423,121679
192.168.231.176,None,2220,823055,1695,779935,525,43120
54.242.128.35,device-metrics-us-2.amazon.com,1863,741594,784,259665,1079,481929
54.157.203.98,device-metrics-us-2.amazon.com,1858,747587,776,259125,1082,488462
18.66.164.76,api.amazonalexa.com,1304,428808,610,326683,694,102125
54.192.217.204,api.eu.amazonalexa.com,1152,1243186,464,1187157,688,56029
44.217.207.10,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,998,550299,391,81922,607,468377
13.32.145.27,server-13-32-145-27.cdg50.r.cloudfront.net.,964,144744,480,69520,484,75224
13.32.145.118,server-13-32-145-118.cdg50.r.cloudfront.net.,951,142848,476,68759,475,74089
13.32.145.56,server-13-32-145-56.cdg50.r.cloudfront.net.,927,139236,464,67021,463,72215
13.32.145.113,server-13-32-145-113.cdg50.r.cloudfront.net.,886,132486,439,63491,447,68995
34.234.43.44,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,837,468848,312,63544,525,405304
224.0.0.251,mdns.mcast.net.,661,76931,0,0,661,76931
54.208.71.163,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,653,374561,258,53844,395,320717
34.194.7.170,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,591,306782,232,46884,359,259898
54.235.163.0,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,569,314217,219,51270,350,262947
52.222.173.74,api.amazonalexa.com,556,182185,262,138568,294,43617
52.1.240.84,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,549,302151,206,50412,343,251739
3.218.90.0,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,542,305326,209,50610,333,254716
3.217.97.135,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,507,273281,203,50214,304,223067
3.220.40.72,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,503,258654,203,44078,300,214576
3.208.181.173,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,502,261910,193,43418,309,218492
3.232.189.105,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,500,278744,204,38008,296,240736
54.88.199.193,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,487,260756,196,43616,291,217140
44.203.165.173,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,474,255526,184,42824,290,212702
44.196.227.45,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,450,244899,183,36622,267,208277
3.211.201.174,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,415,226505,163,35302,252,191203
108.138.181.195,api.eu.amazonalexa.com,410,493808,168,473588,242,20220
3.231.122.174,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,365,218393,153,34642,212,183751
54.242.215.139,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,348,162079,133,33322,215,128757
52.84.214.74,api.amazonalexa.com,340,111603,158,85194,182,26409
52.84.170.76,api.amazonalexa.com,338,109567,159,83915,179,25652
34.202.171.64,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,325,202698,131,33190,194,169508
34.204.163.247,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,319,161028,119,26262,200,134766
44.210.35.174,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,317,168486,125,26658,192,141828
44.194.105.178,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,316,166067,121,26394,195,139673
239.255.255.250,None,315,43680,0,0,315,43680
44.217.198.152,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,313,147714,128,27020,185,120694
44.194.52.155,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,311,166511,126,26724,185,139787
3.219.130.117,A32DOYMUN6DTXA.us-east-1.prod.service.minerva.devices.a2z.com,308,161385,119,26262,189,135123
