IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.1.116,None,8245,968754,5476,631591,2769,337163
52.73.126.138,ec2-52-73-126-138.compute-1.amazonaws.com.,7735,826666,2601,322043,5134,504623
192.168.1.109,None,173,111758,0,0,173,111758
162.159.200.123,time.cloudflare.com.,20,1800,10,900,10,900
162.159.200.1,time.cloudflare.com.,18,1620,9,810,9,810
178.62.68.79,ntp2.glypnod.com.,16,1440,8,720,8,720
95.215.175.2,time.shf.uk.as44574.net.,14,1260,7,630,7,630
195.171.43.10,ns0.thorcom.net.,14,1260,7,630,7,630
131.111.8.60,pool.ntp0.cam.ac.uk.,12,1080,6,540,6,540
93.93.131.118,cheddar.halon.org.uk.,12,1080,6,540,6,540
139.162.219.252,ntp.uk.eria.one.,10,900,5,450,5,450
109.74.206.120,electra.pinklemon.net.,10,900,5,450,5,450
176.58.109.199,time.videxio.net.,10,900,5,450,5,450
131.111.8.63,pool.ntp3.cam.ac.uk.,10,900,5,450,5,450
82.219.4.30,ntp1.exa-networks.co.uk.,10,900,5,450,5,450
81.128.218.110,no-ptr.ziax.ltd.,9,810,4,360,5,450
83.151.207.133,83-151-207-133.customer.gigaclear.net.,8,720,4,360,4,360
129.250.35.251,y.ns.gin.ntt.net.,8,720,4,360,4,360
85.199.214.99,server1.quickdrivingtestcancellations.net.,8,720,4,360,4,360
51.89.151.183,183.ip-51-89-151.eu.,8,720,4,360,4,360
90.155.73.34,rilynn.me.uk.,6,540,3,270,3,270
85.199.214.100,None,6,540,3,270,3,270
185.57.191.229,229.191.57.185.no-ptr.as201971.net.,6,540,3,270,3,270
178.215.228.24,ntp01.pingless.com.,6,540,3,270,3,270
129.250.35.250,x.ns.gin.ntt.net.,6,540,3,270,3,270
188.114.116.1,ntp3.wirehive.net.,6,540,3,270,3,270
80.87.128.222,fluffykins.positive-internet.com.,6,540,3,270,3,270
193.150.34.2,time.rdg.uk.as44574.net.,6,540,3,270,3,270
139.143.5.31,ntpsvr2.npl.co.uk.,6,540,3,270,3,270
134.0.16.1,ntp1.wirehive.net.,4,360,2,180,2,180
139.143.5.30,ntpsvr1.npl.co.uk.,4,360,2,180,2,180
178.62.18.76,slideaway.preshweb.co.uk.,4,360,2,180,2,180
195.171.43.12,ns1.thorcom.net.,4,360,2,180,2,180
185.103.119.60,ntp2.as200552.net.,4,360,2,180,2,180
178.79.188.22,fuji.essenet.co.uk.,4,360,2,180,2,180
178.62.250.107,ams.aput.net.,4,360,2,180,2,180
85.199.214.101,None,4,360,2,180,2,180
103.214.44.30,time.netweaver.uk.,4,360,2,180,2,180
85.199.214.98,None,4,360,2,180,2,180
131.111.8.61,pool.ntp1.cam.ac.uk.,4,360,2,180,2,180
176.58.127.165,greenore.zeip.eu.,4,360,2,180,2,180
217.114.59.66,dns1.tnp.net.uk.,4,360,2,180,2,180
132.226.210.133,None,4,360,2,180,2,180
141.147.71.134,uk2-ipv4.cracky-chan.com.,2,180,1,90,1,90
83.98.51.237,None,2,180,1,90,1,90
217.114.59.3,dns0.tnp.net.uk.,2,180,1,90,1,90
178.79.155.116,nice.stuff.is.,2,180,1,90,1,90
46.17.88.213,risca.amazing-internet.net.,2,180,1,90,1,90
129.215.160.240,linnaeus.inf.ed.ac.uk.,2,180,1,90,1,90
88.80.189.24,research.knoq.nl.,2,180,1,90,1,90
212.71.244.243,lattice.rojoma.com.,2,180,1,90,1,90
77.68.29.174,vps.sedley.net.,2,180,1,90,1,90
46.17.88.211,cogline.amazing-internet.net.,2,180,1,90,1,90
213.5.132.231,231.132.5.213.ptr.as50391.net.,2,180,1,90,1,90
185.177.149.33,None,2,180,1,90,1,90
130.159.196.118,ntp0.cis.strath.ac.uk.,2,180,1,90,1,90
13.41.102.135,ec2-13-41-102-135.eu-west-2.compute.amazonaws.com.,2,180,1,90,1,90
86.3.232.217,cpc137584-lock4-2-0-cust216.6-1.cable.virginm.net.,2,180,1,90,1,90
