IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.231.112,None,29435,7816195,16876,6984819,12559,831376
192.168.231.171,None,6955,934749,4050,254475,2905,680274
192.168.231.108,None,6664,892059,3888,244296,2776,647763
192.168.231.192,None,5978,2763926,1732,76208,4246,2687718
192.168.231.223,None,5610,2748323,1363,59972,4247,2688351
34.240.91.37,ec2-34-240-91-37.eu-west-1.compute.amazonaws.com.,3948,451938,1386,183825,2562,268113
162.159.200.1,time.cloudflare.com.,18,1620,9,810,9,810
162.159.200.123,time.cloudflare.com.,16,1440,8,720,8,720
5.196.8.113,vps-3f94841e.vps.ovh.net.,12,1080,6,540,6,540
129.250.35.250,x.ns.gin.ntt.net.,10,900,5,450,5,450
37.59.63.125,None,10,900,5,450,5,450
95.81.173.74,ntp-2.arkena.net.,8,720,4,360,4,360
193.52.136.2,ns1.univ-montp3.fr.,8,720,4,360,4,360
95.81.173.8,ntp-1.arkena.net.,8,720,4,360,4,360
195.154.226.102,likho.oneyed.monster.,8,720,4,360,4,360
129.250.35.251,y.ns.gin.ntt.net.,8,720,4,360,4,360
194.57.169.1,ntp.univ-angers.fr.,6,540,3,270,3,270
95.81.173.155,ntp-3.arkena.net.,6,540,3,270,3,270
51.158.147.92,51-158-147-92.rev.poneytelecom.eu.,6,540,3,270,3,270
5.39.80.51,silas.dioptre.fr.,6,540,3,270,3,270
176.137.36.37,176-137-36-37.abo.bbox.fr.,6,540,3,270,3,270
212.83.158.83,dedibox.demongeot.biz.,6,540,3,270,3,270
82.64.230.205,mail.vincennesvolleyclub.org.,6,540,3,270,3,270
51.15.182.163,par.cyberbits.eu.,6,540,3,270,3,270
51.38.81.135,vps-7d02b399.vps.ovh.net.,6,540,3,270,3,270
162.19.224.29,vps-4fbcd565.vps.ovh.net.,6,540,3,270,3,270
51.178.79.86,ns3166978.ip-51-178-79.eu.,6,540,3,270,3,270
194.177.34.116,router-ix5.servme.network.,4,360,2,180,2,180
212.85.158.10,ntp.tuxfamily.net.,4,360,2,180,2,180
82.64.45.50,kuro-home.net.,4,360,2,180,2,180
176.31.102.171,kalimantan.ordimatic.net.,4,360,2,180,2,180
141.95.158.40,vps-f60b2d25.vps.ovh.net.,4,360,2,180,2,180
91.224.149.41,eva.aplu.fr.,4,360,2,180,2,180
79.143.250.33,neel.ch.,4,360,2,180,2,180
45.128.41.10,None,4,360,2,180,2,180
146.59.88.209,ntp4.omdc.pl.,4,360,2,180,2,180
92.243.6.5,villisika.miuku.net.,4,360,2,180,2,180
82.64.131.93,82-64-131-93.subs.proxad.net.,4,360,2,180,2,180
51.38.113.118,vps-eef812bc.vps.ovh.net.,4,360,2,180,2,180
5.196.160.139,ip139.ip-5-196-160.eu.,4,360,2,180,2,180
82.64.81.218,82-64-81-218.subs.proxad.net.,2,180,1,90,1,90
31.170.8.123,ntp.evolix.net.,2,180,1,90,1,90
51.255.209.72,ip72.ip-51-255-209.eu.,2,180,1,90,1,90
178.32.23.17,blade2.rack1.senis.org.,2,180,1,90,1,90
51.68.180.114,kipp.eigensystems.pl.,2,180,1,90,1,90
51.255.95.80,ns3051461.ip-51-255-95.eu.,2,180,1,90,1,90
188.165.224.178,sys.gegeweb.eu.,2,180,1,90,1,90
82.64.84.116,82-64-84-116.subs.proxad.net.,2,180,1,90,1,90
51.158.67.116,arm.vranetworks.mx.,2,180,1,90,1,90
94.23.215.121,halmahera.ordimatic.net.,2,180,1,90,1,90
163.172.108.148,mail.oredin.net.,2,180,1,90,1,90
82.127.104.72,laubervilliers-656-1-156-72.w82-127.abo.wanadoo.fr.,2,180,1,90,1,90
146.59.35.38,vps-b79172cc.vps.ovh.net.,2,180,1,90,1,90
80.74.64.1,ns1.pulsation.fr.,2,180,1,90,1,90
51.158.181.205,205-181-158-51.instances.scw.cloud.,2,180,1,90,1,90
5.39.78.25,spica.beduzar.fr.,2,180,1,90,1,90
164.132.166.29,dalaran.sceen.net.,2,180,1,90,1,90
151.80.32.71,bethany.fangfufu.co.uk.,2,180,1,90,1,90
80.74.64.2,ns2.pulsation.fr.,2,180,1,90,1,90
51.68.44.27,27.ip-51-68-44.eu.,2,180,1,90,1,90
193.107.56.65,ns1.euskill.com.,2,180,1,90,1,90
54.38.114.34,orb.pstam.ovh.,2,180,1,90,1,90
149.202.2.105,sambuca.psychonet.co.uk.,2,180,1,90,1,90
82.64.247.11,freebox-server.groumpf.org.,2,180,1,90,1,90
37.187.20.28,ns397460.ip-37-187-20.eu.,2,180,1,90,1,90
51.38.99.44,b02.mx.keragd.net.,2,180,1,90,1,90
51.255.141.76,router-rbx-3.servme.network.,2,180,1,90,1,90
195.83.132.135,ntp1.laas.fr.,2,180,1,90,1,90
