IP,Hostname,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.231.108,None,None,None,1373694,188594965,686520,77782285,687174,110812680
192.168.231.171,None,None,None,1156003,92917093,590490,54905720,565513,38011373
52.222.195.41,api.eu.amazonalexa.com,United States,US;US;US;US;US;US;US,25160,29355924,8573,27998433,16587,1357491
"18.155.120.74,18.66.164.76,52.222.173.74,52.84.214.74,52.84.170.76,52.84.191.74,18.161.103.75,13.225.235.83,108.138.179.76,18.172.207.74,108.156.57.75,3.160.209.67,18.161.88.75,99.86.219.83",api.amazonalexa.com,United States,US;US;US;US;US;US;US,16705,5488437,7799,4181616,8906,1306821
"18.203.57.224,52.16.104.93,52.214.227.89",avs-alexa-14-eu.amazon.com,Ireland,US;US;US;US;US;US;US,32110,3675367,19898,2096597,12212,1578770
54.211.64.190,ec2-54-211-64-190.compute-1.amazonaws.com.,United States,None,8481,739522,2863,276037,5618,463485
192.168.231.112,None,None,None,6664,892059,2776,647763,3888,244296
"54.243.58.104,34.195.175.66,54.221.200.137,44.199.52.214,3.227.83.236,52.202.2.34,54.205.24.65,54.164.163.115,54.91.103.251,44.193.236.65,34.237.111.59,44.198.224.47,18.214.180.6,44.199.138.71,52.20.206.121,54.166.21.152,54.242.128.35,54.157.203.98",device-metrics-us-2.amazon.com,United States,US;US;US;US;US,62551,25611068,26410,8726742,36141,16884326
192.168.231.1,None,None,None,4618,955808,2309,750036,2309,205772
192.168.1.2,None,None,None,3566,228224,1783,96282,1783,131942
"18.66.165.150,54.192.217.204,108.138.181.195,18.155.130.184,18.172.210.181,13.225.233.147,108.157.242.54,18.239.32.55",api.eu.amazonalexa.com,United States,None,4927,5800047,2039,5557117,2888,242930
192.168.231.176,None,None,None,2220,823055,1695,779935,525,43120
