IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.231.136,None,41142,5561887,28711,4409785,12431,1152102
255.255.255.255,None,14017,3223910,0,0,14017,3223910
18.185.218.106,ec2-18-185-218-106.eu-central-1.compute.amazonaws.com.,3699,345050,1565,160608,2134,184442
52.57.38.165,ec2-52-57-38-165.eu-central-1.compute.amazonaws.com.,2928,266785,1236,124586,1692,142199
3.124.225.12,ec2-3-124-225-12.eu-central-1.compute.amazonaws.com.,1624,131741,752,65873,872,65868
35.156.42.116,ec2-35-156-42-116.eu-central-1.compute.amazonaws.com.,1562,125303,722,62700,840,62603
3.121.210.75,ec2-3-121-210-75.eu-central-1.compute.amazonaws.com.,1551,129147,718,64051,833,65096
18.185.182.159,ec2-18-185-182-159.eu-central-1.compute.amazonaws.com.,1540,165743,835,86567,705,79176
3.120.92.134,ec2-3-120-92-134.eu-central-1.compute.amazonaws.com.,1489,124950,674,61549,815,63401
3.67.242.33,ec2-3-67-242-33.eu-central-1.compute.amazonaws.com.,1444,121140,647,58906,797,62234
3.64.85.28,ec2-3-64-85-28.eu-central-1.compute.amazonaws.com.,1414,113424,656,57556,758,55868
18.185.31.196,ec2-18-185-31-196.eu-central-1.compute.amazonaws.com.,1362,113863,633,57118,729,56745
3.66.126.37,ec2-3-66-126-37.eu-central-1.compute.amazonaws.com.,1341,108910,615,54207,726,54703
18.184.31.90,ec2-18-184-31-90.eu-central-1.compute.amazonaws.com.,1261,98515,568,48539,693,49976
3.65.95.68,ec2-3-65-95-68.eu-central-1.compute.amazonaws.com.,1191,94453,542,47357,649,47096
3.121.131.36,ec2-3-121-131-36.eu-central-1.compute.amazonaws.com.,1047,103375,574,54645,473,48730
35.156.44.172,ec2-35-156-44-172.eu-central-1.compute.amazonaws.com.,1023,79138,459,38826,564,40312
18.192.43.219,ec2-18-192-43-219.eu-central-1.compute.amazonaws.com.,1009,78568,450,39268,559,39300
18.195.249.137,ec2-18-195-249-137.eu-central-1.compute.amazonaws.com.,794,76399,445,41223,349,35176
52.58.249.45,ec2-52-58-249-45.eu-central-1.compute.amazonaws.com.,776,58253,340,28523,436,29730
224.0.0.1,all-systems.mcast.net.,70,3220,0,0,70,3220
