IP, Hostname, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
192.168.231.226,None,27029,11493212,14399,7158974,12630,4334238
35.190.54.210,logsink.devices.nest.com,20352,9317897,9568,2794496,10784,6523401
52.205.228.132,squeakydoor.nest.com,1222,439914,577,330646,645,109268
54.164.247.81,squeakydoor.nest.com,1063,378686,506,284058,557,94628
54.156.64.150,squeakydoor.nest.com,911,326768,428,244244,483,82524
54.208.172.57,squeakydoor.nest.com,445,131177,194,89382,251,41795
34.231.209.135,czfe24-front01-iad01.transport.home.nest.com,211,49736,98,27037,113,22699
52.70.53.18,squeakydoor.nest.com,191,58450,82,40879,109,17571
107.21.146.204,czfe112-front01-iad01.transport.home.nest.com,182,43011,77,25839,105,17172
34.239.79.85,czfe81-front01-iad01.transport.home.nest.com,157,44213,70,23274,87,20939
54.173.243.106,czfe110-front01-iad01.transport.home.nest.com,129,40796,60,26405,69,14391
18.204.152.154,czfe87-front01-iad01.transport.home.nest.com,125,41883,56,25884,69,15999
54.156.213.123,czfe108-front01-iad01.transport.home.nest.com,121,37480,54,26126,67,11354
34.237.131.21,czfe93-front01-iad01.transport.home.nest.com,109,35763,44,16787,65,18976
142.250.201.174,par21s23-in-f14.1e100.net.,106,9238,50,4586,56,4652
52.6.94.39,czfe44-front01-iad01.transport.home.nest.com,98,23729,45,15824,53,7905
18.210.25.50,czfe45-front01-iad01.transport.home.nest.com,96,28779,43,16793,53,11986
18.209.86.148,czfe69-front01-iad01.transport.home.nest.com,84,24925,38,16194,46,8731
52.55.205.241,czfe91-front01-iad01.transport.home.nest.com,84,26598,39,16848,45,9750
18.205.224.178,czfe30-front01-iad01.transport.home.nest.com,81,24724,37,16087,44,8637
35.171.224.183,czfe16-front01-iad01.transport.home.nest.com,79,27351,35,16026,44,11325
216.239.35.0,time1.google.com.,70,6300,35,3150,35,3150
35.169.204.9,czfe39-front01-iad01.transport.home.nest.com,69,23729,31,15626,38,8103
52.91.103.86,czfe111-front01-iad01.transport.home.nest.com,69,23924,34,15891,35,8033
18.210.94.215,czfe04-front01-iad01.transport.home.nest.com,66,23027,31,15098,35,7929
35.168.175.128,czfe85-front01-iad01.transport.home.nest.com,62,15891,26,10610,36,5281
52.206.238.53,czfe67-front01-iad01.transport.home.nest.com,62,21987,27,17011,35,4976
107.23.175.250,czfe120-front01-iad01.transport.home.nest.com,62,14556,20,9672,42,4884
54.146.20.238,weather.nest.com,60,22168,23,18092,37,4076
3.83.229.35,czfe121-front01-iad01.transport.home.nest.com,60,21201,27,14631,33,6570
18.205.174.64,czfe98-front01-iad01.transport.home.nest.com,56,17697,26,10198,30,7499
54.166.199.222,czfe116-front01-iad01.transport.home.nest.com,52,20664,24,14407,28,6257
54.205.92.207,weather.nest.com,46,17827,19,14184,27,3643
35.171.116.112,czfe61-front01-iad01.transport.home.nest.com,44,13842,17,10554,27,3288
18.204.62.133,czfe62-front01-iad01.transport.home.nest.com,41,12653,17,8851,24,3802
35.171.141.52,czfe19-front01-iad01.transport.home.nest.com,38,13703,15,10489,23,3214
52.73.226.79,weather.nest.com,31,8168,12,5762,19,2406
18.204.60.159,czfe49-front01-iad01.transport.home.nest.com,27,7024,15,5585,12,1439
18.209.53.160,czfe29-front01-iad01.transport.home.nest.com,24,6826,14,5519,10,1307
52.55.159.10,weather.nest.com,24,10747,11,9030,13,1717
54.152.190.163,weather.nest.com,24,10718,10,8935,14,1783
18.210.159.117,czfe37-front01-iad01.transport.home.nest.com,22,7226,11,5455,11,1771
52.54.95.86,czfe18-front01-iad01.transport.home.nest.com,22,6714,12,5403,10,1311
18.210.177.46,czfe59-front01-iad01.transport.home.nest.com,21,6660,11,5349,10,1311
18.210.177.236,czfe53-front01-iad01.transport.home.nest.com,20,7106,9,5335,11,1771
18.209.26.40,czfe06-front01-iad01.transport.home.nest.com,20,7118,9,5347,11,1771
54.88.60.177,czfe100-front01-iad01.transport.home.nest.com,20,6606,10,5295,10,1311
52.22.4.251,weather.nest.com,18,7150,9,5482,9,1668
18.208.2.216,czfe82-front01-iad01.transport.home.nest.com,16,6792,7,5184,9,1608
52.54.204.6,weather.nest.com,10,2905,4,2008,6,897
52.87.106.218,weather.nest.com,9,2839,5,2050,4,789
52.22.184.96,weather.nest.com,8,3957,4,3168,4,789
52.72.161.88,weather.nest.com,7,4167,3,3378,4,789
54.164.236.255,ec2-54-164-236-255.compute-1.amazonaws.com.,3,202,1,74,2,128
