IP,Hostname,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.1.112,None,None,None,32507,4105539,21336,1856316,11171,2249223
54.161.211.254,ec2-54-161-211-254.compute-1.amazonaws.com.,United States,None,22339,2213637,7408,903732,14931,1309905
54.172.223.241,aqm3wd1qlc3dy-ats.iot.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,7076,708131,2352,291161,4724,416970
52.217.114.120,s3.amazonaws.com,United States,None,1412,929142,598,884911,814,44231
192.168.1.1,None,None,None,347,102745,171,89799,176,12946
"35.172.22.100,3.224.137.138,34.200.66.82,35.168.43.89,75.101.175.8,44.212.106.40,52.86.50.224,54.208.127.232",app.govee.com,United States,None,993,121284,473,64410,520,56874
203.107.6.88,ntp.aliyun.com,China,None,121,10890,60,5400,61,5490
"216.239.35.0,216.239.35.8,216.239.35.12,216.239.35.4",time.google.com,United States,None,134,12060,67,6030,67,6030
"162.159.200.1,162.159.200.123,216.229.4.66",pool.ntp.org,None,None,9,810,4,360,5,450
"204.17.205.8,216.31.17.12,216.218.254.202,23.141.40.123,208.67.72.43,198.60.22.240,5.78.71.97,76.223.42.77,108.181.220.94,217.180.209.214,23.95.169.235,108.61.73.243,204.2.134.162,73.239.145.47,68.183.107.237,129.250.35.250,5.161.186.39,144.34.193.110,216.229.4.69,99.119.214.210,5.78.89.3,5.161.111.190,174.53.169.69,69.89.207.199,45.79.111.167,198.30.92.2,174.136.99.6,104.167.241.197,45.79.35.159,5.78.62.36,45.33.53.84,142.147.88.111,171.66.97.126,66.228.58.20",pool.ntp.org,United States,None,74,6660,37,3330,37,3330
62.72.0.70,pool.ntp.org,Germany,None,2,180,1,90,1,90
