Interval,Frames,Bytes
0 <> 21600,1253,153895
21600 <> 43200,1085,107925
43200 <> 64800,1112,110950
64800 <> 86400,1082,107762
86400 <> 108000,1105,110434
108000 <> 129600,1088,108086
129600 <> 151200,1106,110626
151200 <> 172800,1095,108465
172800 <> 194400,1109,110788
194400 <> 216000,1088,108086
216000 <> Dur,305,30000
