Interval,Frames,Bytes
0 <> 21600,641,124698
21600 <> 43200,554,86337
43200 <> 64800,550,85031
64800 <> 86400,583,94502
86400 <> 108000,579,93801
108000 <> 129600,553,86456
129600 <> 151200,553,85195
151200 <> 172800,587,95166
172800 <> 194400,575,93393
194400 <> 216000,553,86293
216000 <> Dur,160,26142
