IP,Hostnames,Aggregated Hostname,Type,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
34.194.40.211;52.200.232.52,0.ntp.nvts.co,*.ntp.nvts.co,Time,United States,None,834,50313,417,27033,417,23280
44.213.42.13;52.70.161.86;34.193.127.115;54.204.59.176;54.210.33.145;52.54.212.178;34.197.164.221;34.225.243.222;184.73.233.73;3.216.168.201;34.196.181.225;54.197.57.108;34.203.118.105;44.209.65.86;44.198.156.16;52.0.113.149;44.207.230.159,deviceapi.nvts.co;localweb.nvts.co,*.nvts.co,First-Party,United States,US,5688,1791230,2417,1425698,3271,365532
192.168.1.106,None,None,Local (Hue Bridge),None,None,639562,135434556,351635,111422976,287927,24011580
239.255.255.250,None,None,Local Multicast (SSDP),None,None,10629,1897332,0,0,10629,1897332
52.44.34.140,ec2-52-44-34-140.compute-1.amazonaws.com.,*.amazonaws.com,Third-Party (Cloud),United States,None,30320,2630557,10156,985892,20164,1644665
52.217.88.158;52.217.89.246;54.231.236.88;16.182.69.176;16.182.103.72;52.216.168.165;52.216.154.206;16.182.100.216;52.217.10.206;52.217.4.70;52.216.108.221;52.216.36.184;52.216.205.125;52.216.109.221;52.216.153.254;52.216.145.101;52.216.244.70;52.216.248.14;16.182.103.96;52.216.51.144;52.217.68.126;52.217.205.0;52.217.97.222;52.217.95.24;52.217.108.94;52.217.68.150;52.216.8.229;52.216.30.62;54.231.195.120;16.182.68.192;54.231.172.200;52.217.47.30;52.216.110.213;52.217.98.206;52.217.122.32;52.216.200.157;54.231.133.152;52.217.224.104;52.217.204.192;52.217.137.224;52.217.170.16;54.231.132.216;52.216.171.117;52.216.112.13;16.182.39.112;54.231.232.152;16.182.72.216;52.217.140.104;52.217.98.62;54.231.229.96;16.182.65.0;52.217.133.152;52.217.139.240;52.217.113.8;52.217.17.126;52.216.211.240;52.216.59.240;52.217.230.32;54.231.194.120;52.217.136.24;54.231.131.16;54.231.199.8;52.216.145.253;16.182.96.40;54.231.236.136;52.217.95.200;52.217.44.86;52.216.219.40;16.182.101.104;54.231.196.216;52.216.76.126;52.217.207.56;52.216.76.38;52.216.41.0;52.216.108.69;54.231.197.96;52.216.152.246;52.217.171.248;52.216.215.24;54.231.225.16;52.216.9.213;54.231.224.200;54.231.166.208;52.217.84.118;3.5.8.175;52.216.218.56;52.216.10.181;16.182.107.64;54.231.139.72;52.216.240.134;52.217.9.206;52.217.206.152;54.231.133.232;52.217.166.96;52.216.54.80;54.231.225.96;52.216.245.86;52.216.177.21;52.216.114.173;54.231.198.88;54.231.224.144;52.217.132.48;54.231.225.40;54.231.138.168;54.231.134.40;52.216.249.254;16.182.67.128;52.217.224.216;54.231.230.0;16.182.36.8;52.216.35.224;52.217.164.72;52.216.44.144;54.231.160.32;16.182.97.208;52.217.225.224;52.216.33.48;16.182.35.224;52.216.59.72;54.231.193.80;54.231.161.120;52.217.202.216;54.231.172.104;52.216.62.40;54.231.131.240;52.216.216.224;52.217.114.168;52.217.113.56;52.216.221.176;16.182.96.16;52.217.170.144;52.216.63.16;52.217.231.48;52.217.121.184;54.231.224.192;54.231.230.144;54.231.227.32;52.216.41.80;54.231.134.24;52.217.233.40;52.217.142.240;52.217.203.0;52.217.121.224;54.231.135.152;54.231.130.128;16.182.68.208;54.231.134.168;52.217.224.80;16.182.65.120;52.216.63.56;52.217.235.160;52.217.124.56;52.216.43.144;54.231.194.112;52.216.62.0;52.217.207.40;52.216.33.72;54.231.232.216;52.216.221.0;54.231.139.184;54.231.226.192;54.231.193.224;52.216.114.53;52.217.100.86;52.217.141.0;54.231.171.184;52.216.52.120,s3.us-east-1.amazonaws.com,*.us.amazonaws.com,Third-Party (Cloud),United States,US,7232,2857193,3026,1269068,4206,1588125
,,,,,,,,,,,
,,,,,Local P2P,639562,135434556,351635,111422976,287927,24011580
,,,,,Local Multicast,10629,1897332,0,0,10629,1897332
,,,,,First-Party,5688,1791230,2417,1425698,3271,365532
,,,,,Third-Party,37552,5487750,13182,2254960,24370,3232790
,,,,,Time,834,50313,417,27033,417,23280
,,,,,,,,,,,
,,,,,Local P2P %,0.92120732,0.936219068,0.956436947,0.9677958,0.881551311,0.813110805
,,,,,Local Multicast %,0.015309716,0.013115695,0,0,0.032543002,0.064249881
,,,,,First-Party %,0.008192837,0.012382244,0.00657417,0.012383304,0.01001488,0.012378112
,,,,,Third-Party %,0.054088857,0.037935194,0.035854656,0.019586093,0.07461407,0.109472866
,,,,,Time %,0.00120127,0.000347799,0.001134228,0.000234803,0.001276736,0.000788337
,,,,,Check,1,1,1,1,1,1
,,,,,,,,,,,
,,,,,United States,44074,7329293,16016,3707691,28058,3621602
,,,,,Local,650191,137331888,351635,111422976,298556,25908912
,,,,,,,,,,,
,,,,,United States %,0.063482964,0.050665237,0.043563053,0.0322042,0.085905687,0.122639315
,,,,,Local  %,0.936517036,0.949334763,0.956436947,0.9677958,0.914094313,0.877360685
,,,,,Check,1,1,1,1,1,1
