IP,Hostnames,Aggregated Hostname,Type,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
192.168.231.171,None,None,Local (Echo Show 5),None,None,6955,934749,4050,254475,2905,680274
192.168.231.108,None,None,Local (Echo Dot 3),None,None,6664,892059,3888,244296,2776,647763
192.168.231.192,None,None,Local (Google Home),None,None,5978,2763926,1732,76208,4246,2687718
192.168.231.223,None,None,Local (Nest Mini),None,None,5610,2748323,1363,59972,4247,2688351
34.240.91.37,ec2-34-240-91-37.eu-west-1.compute.amazonaws.com.,*.eu.amazonaws.com,Third-Party (Cloud),Ireland,None,3948,451938,1386,183825,2562,268113
162.159.200.1;162.159.200.123;5.196.8.113;129.250.35.250;37.59.63.125;95.81.173.74;193.52.136.2;95.81.173.8;195.154.226.102;129.250.35.251;194.57.169.1;95.81.173.155;51.158.147.92;5.39.80.51;176.137.36.37;212.83.158.83;82.64.230.205;51.15.182.163;51.38.81.135;162.19.224.29;51.178.79.86;194.177.34.116;212.85.158.10;82.64.45.50;176.31.102.171;141.95.158.40;91.224.149.41;79.143.250.33;45.128.41.10;146.59.88.209;92.243.6.5;82.64.131.93;51.38.113.118;5.196.160.139;82.64.81.218;31.170.8.123;51.255.209.72;178.32.23.17;51.68.180.114;51.255.95.80;188.165.224.178;82.64.84.116;51.158.67.116;94.23.215.121;163.172.108.148;82.127.104.72;146.59.35.38;80.74.64.1;51.158.181.205;5.39.78.25;164.132.166.29;151.80.32.71;80.74.64.2;51.68.44.27;193.107.56.65;54.38.114.34;149.202.2.105;82.64.247.11;37.187.20.28;51.38.99.44;51.255.141.76;195.83.132.135,pool.ntp.org,*.ntp.org,Third-Party (Time),Anycast,None,280,25200,140,12600,140,12600
,,,,,,,,,,,
,,,,,Local,25207,7339057,11033,634951,14174,6704106
,,,,,Third-Party,3948,451938,1386,183825,2562,268113
,,,,,Time,280,25200,140,12600,140,12600
,,,,,,,,,,,
,,,,,Local %,0.856361474,0.938955208,0.878493511,0.763735061,0.839890969,0.959810984
,,,,,Third-Party %,0.13412604,0.057820717,0.110359105,0.221109342,0.151813226,0.038385103
,,,,,Time %,0.009512485,0.003224075,0.011147384,0.015155597,0.008295805,0.001803912
,,,,,Check,1,1,1,1,1,1
,,,,,,,,,,,
,,,,,Ireland,3948,451938,1386,183825,2562,268113
,,,,,Anycast,280,25200,140,12600,140,12600
,,,,,Local,25207,7339057,11033,634951,14174,6704106
,,,,,,,,,,,
,,,,,Ireland %,0.13412604,0.057820717,0.110359105,0.221109342,0.151813226,0.038385103
,,,,,Anycast  %,0.009512485,0.003224075,0.011147384,0.015155597,0.008295805,0.001803912
,,,,,Local %,0.856361474,0.938955208,0.878493511,0.763735061,0.839890969,0.959810984
,,,,,Check,1,1,1,1,1,1
