IP,Hostnames,Aggregated Hostname,Type,IP Geolocation,Cert Geolocations,Packets,Bytes,TxPackets,TxBytes,RxPackets,RxBytes
173.194.76.138;216.58.215.46;216.58.213.78;142.250.201.174;172.217.20.206;64.233.166.101;66.102.1.102;108.177.15.138;64.233.184.101;66.102.1.138;108.177.15.101;64.233.166.138;142.251.168.102;64.233.166.102;173.194.76.100;64.233.184.113;173.194.76.113;64.233.167.139;108.177.15.102;173.194.76.101;66.102.1.101;64.233.166.139;74.125.133.102;142.251.173.102;64.233.167.100;173.194.76.139;74.125.71.102;108.177.15.113;66.102.1.100;108.177.15.139;64.233.167.101;108.177.15.100;64.233.184.139;74.125.133.139;64.233.166.188;108.177.15.188;173.194.76.188;74.125.206.188;142.250.110.188;142.250.74.238,clients3.google.com;clients4.google.com;mtalk.google.com;tools.google.com,*.google.com,First-Party,United States,None,76084,22271993,35549,11592195,40535,10679798
142.250.178.131;142.250.75.227;216.58.214.163,connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,First-Party,United States,None,23768,3873443,9451,1284936,14317,2588507
8.8.8.8;8.8.4.4,dns.google.,dns.google,First-Party,United States,None,22490,2166743,11244,1317039,11246,849704
172.217.20.202;216.58.215.42;142.250.178.138;142.250.179.74;142.250.75.234;172.217.20.170;142.250.201.170;216.58.214.170;142.250.179.106;142.250.74.234;216.58.214.74;216.58.213.74;172.217.18.202;142.250.75.251;216.58.213.91;172.217.20.219;172.217.20.187,geller-pa.googleapis.com;play.googleapis.com;storage.googleapis.com,*.googleapis.com,First-Party,United States,None,24892,14416906,11847,11217228,13045,3199678
216.58.214.67;216.58.213.67;216.58.215.35,gstatic.com;www.gstatic.com,*.gstatic.com,First-Party,United States,None,895,748224,431,664577,464,83647
224.0.0.22,igmp.mcast.net.,igmp.mcast.net,Local Multicast (IGMP),None,None,25,1630,0,0,25,1630
224.0.0.251,mdns.mcast.net.,mdns.mcast.net,Local Multicast (mDNS),None,None,35802,7610131,0,0,35802,7610131
192.168.231.223,None,None,Local (Google Home),None,None,907826,74664833,455940,38192888,451886,36471945
255.255.255.255,None,None,Local Broadcast,None,None,8512,651190,0,0,8512,651190
192.168.231.112,None,None,Local (TP-Link Plug),None,None,5978,2763926,4246,2687718,1732,76208
192.168.231.200,None,None,Local (TP-Link Bulb),None,None,5905,4553886,4214,4479482,1691,74404
239.255.255.251,None,None,Local Multicast,None,None,4275,371913,0,0,4275,371913
224.0.0.250,None,None,Local Multicast,None,None,4272,371658,0,0,4272,371658
142.250.179.70,static.doubleclick.net,*.doubleclick.net,First-Party,United States,None,113,28715,52,20942,61,7773
216.239.35.0;216.239.35.4;216.239.35.8;216.239.35.12,time.google.com,time.google.com,Time,United States,None,572,51480,286,25740,286,25740
142.250.178.142;142.250.179.78,www.youtube.com,*.youtube.com,First-Party,United States,None,1399,3056436,846,2952554,553,103882
ff02::fb,None,None,Local Multicast (mDNS),None,None,35778,8570164,0,0,35778,8570164
ff02::c:c,None,None,Local Multicast (mDNS),None,None,2,214,0,0,2,214
ff05::c0c,None,None,Local Multicast,None,None,1,107,0,0,1,107
,,,,,,,,,,,
,,,,,Local P2P,919709,81982645,464400,45360088,455309,36622557
,,,,,Local Multicast,80155,16925817,0,0,80155,16925817
,,,,,Local Broadcast,8512,651190,0,0,8512,651190
,,,,,First-Party,149641,46562460,69420,29049471,80221,17512989
,,,,,Time,572,51480,286,25740,286,25740
,,,,,,,,,,,
,,,,,Local P2P %,0.79381817,0.560858113,0.869490326,0.609389478,0.729097509,0.510502208
,,,,,Local Multicast %,0.069183291,0.115792578,0,0,0.128354175,0.235938385
,,,,,Local Broadcast %,0.007346868,0.004454909,0,0,0.013630475,0.0090773
,,,,,First-Party %,0.129157967,0.318542217,0.1299742,0.390264718,0.128459862,0.244123302
,,,,,Time %,0.000493704,0.000352184,0.000535474,0.000345804,0.000457979,0.000358804
,,,,,Check,1,1,1,1,1,1
,,,,,,,,,,,
,,,,,United States ,150213,46613940,69706,29075211,80507,17538729
,,,,,Local,1008376,99559652,464400,45360088,543976,54199564
,,,,,,,,,,,
,,,,,United States %,0.129651671,0.318894401,0.130509674,0.390610522,0.128917841,0.244482107
,,,,,Local %,0.870348329,0.681105599,0.869490326,0.609389478,0.871082159,0.755517893
,,,,,Check,1,1,1,1,1,1
