Interval,Frames,Bytes
0 <> 21600,1116,111167
21600 <> 43200,1090,108195
43200 <> 64800,1106,110626
64800 <> 86400,1084,107870
86400 <> 108000,1109,110788
108000 <> 129600,1085,107924
129600 <> 151200,1107,110542
151200 <> 172800,1093,108357
172800 <> 194400,1110,110842
194400 <> 216000,1091,108248
216000 <> Dur,1179,129512
