Interval,Frames,Bytes
0 <> 21600,298,36330
21600 <> 43200,298,36436
43200 <> 64800,296,34552
64800 <> 86400,297,38000
86400 <> 108000,297,36376
108000 <> 129600,297,36379
129600 <> 151200,296,36191
151200 <> 172800,288,30520
172800 <> 194400,292,30832
194400 <> 216000,293,30874
216000 <> Dur,285,30312
