Layer 3,Layer 4,Layer 5,Layer 7,
ip,tcp,tls,tplink-smarthome,"Recved from google, uses udp and send device info"
,udp,,ntp,
,,,1111,"Received from google devices, not responded to, used to be able to use Local Home SDK, this was disabled for security reasons, google still sends."
,,,https,
