MAC,Layer 3,Layer 4,Layer 5,Layer 7,
A0:85:FC:2F:7D:A0,ip,udp,tls,mdns,
,ipv6,tcp,,ntp,
,,,,http,"Connection test, frequently updates certificate trust lists from microsoft, checks cert validity, update files"
,,,,llmnr,"Similar to MDNS, being phased out https://techcommunity.microsoft.com/t5/networking-blog/aligning-on-mdns-ramping-down-netbios-name-resolution-and-llmnr/ba-p/3290816"
,,,,https,
,,,,,
,,,,,"IGMP: 224.0.0.251,224.0.0.252"
