Layer 3,Layer 4,Layer 5,Layer 7,
ip,tcp,tls,http,"Used to fetch certs and upgrade Websocket to secure websocket, then secure websocket is used for communication"
,udp,,mdns,Responds with type and name
,,,https,
,,,34484,"UDP sends to IPS gotten before the router was configured properly, memory?"
,,,48564,"UDP sends to IPS gotten before the router was configured properly, memory?"
,,,44006,"UDP sends to IPS gotten before the router was configured properly, memory?"
,,,stun,STUN for VoIP
