Layer 3,Layer 4,Layer 5,Layer 7,
ip,tcp,tls,http,Connectivity and portal detection https://www.chromium.org/chromium-os/chromiumos-design-docs/network-portal-detection/
,udp,,ntp,
,,,https,
,,,9543,Contains some mandatory traffic
