MAC,Layer 3,Layer 4,Layer 5,Layer 7,
EC:B5:FA:80:80:F4,ip,tcp,tls,http,Sends diagnostics 1st party
,,udp,,ssdp,
,,igmp,,ntp,
,,,,https,
