Layer 3,Layer 4,Layer 5,Layer 7,
ip,tcp,tls,http,Queries philips bridge descrption.xml
,udp,,ssdp,
,,,8555,Looks like it might be integration but it is querying an ntp host
,,,secure-mqtt,
,,,https,
