Layer 3,Layer 4,Layer 5,Layer 7
ip,tcp,tls,http
ipv6,udp,,tplink-smarthome
,,,ssdp
,,,mdns
,,,ntp
,,,55444
,,,50000
,,,lifx
,,,estamp
,,,55443
,,,https
