Layer 3,Layer 4,Layer 5,Layer 7,
ip,tcp,tls,http,
ipv6,udp,,tplink-smarthome,
,,,mdns,
,,,ssdp,
,,,ntp,
,,,55444,https://media.defcon.org/DEF%20CON%2026/DEF%20CON%2026%20presentations/DEFCON-26-Wu-HuiYu-and-Qian-Wenxiang-Breaking-Smart-Speakers-Updated.pdf
,,,50000,
,,,estamp,
,,,lifx,
,,,55443,https://media.defcon.org/DEF%20CON%2026/DEF%20CON%2026%20presentations/DEFCON-26-Wu-HuiYu-and-Qian-Wenxiang-Breaking-Smart-Speakers-Updated.pdf
,,,https,
