MAC,WAN/LAN,Protocol,IP,TotalPackets,TotalBytes,TxPackets,TxBytes,RxPackets,RxBytes
EC:B5:FA:99:AC:15,ALL,ipv6,ff02::fb,17221,5962958,17221,5962958,0,0
EC:B5:FA:99:AC:15,ALL,udp,ff02::fb,17221,5962958,17221,5962958,0,0
EC:B5:FA:99:AC:15,ALL,mdns,ff02::fb,17221,5962958,17221,5962958,0,0
