File, Layer,Classification,Notes, Proto, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes,LanPackets,LanBytes,LanTxPackets,LanTxBytes,LanRxPackets,LanRxBytes,WanPackets,WanBytes,WanTxPackets,WanTxBytes,WanRxPackets,WanRxBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Management,"Echo dot communication, most likely time sync, https://media.defcon.org/DEF%20CON%2026/DEF%20CON%2026%20presentations/DEFCON-26-Wu-HuiYu-and-Qian-Wenxiang-Breaking-Smart-Speakers-Updated.pdf",55444,2025720,109388864,1012860,54694432,1012860,54694432,2025720,109388864,1012860,54694432,1012860,54694432,0,0,0,0,0,0,EchoDot3,EchoShow5,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Discovery,Recv UPnP,50000,2920,1057100,420,58590,2500,998510,2920,1057100,420,58590,2500,998510,0,0,0,0,0,0,EchoDot3,EchoShow5,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Discovery,Query SSDP (wifi bulb),1982,384,52608,384,52608,0,0,384,52608,384,52608,0,0,0,0,0,0,0,0,EchoDot3,EchoShow5,EchoDot5,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Unencrypted App,"Broadcast, probably lifx, https://lan.developer.lifx.com/docs/querying-the-device-for-data#getservice---packet-2",56700,384,29952,384,29952,0,0,384,29952,384,29952,0,0,0,0,0,0,0,0,EchoDot3,EchoShow5,EchoDot5,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,"Encrypted comms between amazon devices, cert says alexa, broadcast",55443,286286,76445322,143143,38222661,143143,38222661,286286,76445322,143143,38222661,143143,38222661,286286,76445322,0,0,0,0,EchoDot3,EchoShow5,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Management,"Exchanging STUN with google home speaker and nest mini, nothing is responding, mistmatched protocols? LAN, no servers",classic-stun,794722,49272764,397361,24636382,397361,24636382,794722,49272764,397361,24636382,397361,24636382,0,0,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Management,"Exchanging STUN with google home speaker and nest mini, nothing is responding, mistmatched protocols? LAN, no servers",classic-stun,463104,28712448,231552,14356224,231552,14356224,463104,28712448,231552,14356224,231552,14356224,0,0,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrytped  APP,"Undocumented, reaches out between nestmini and google home speaker, on LAN, TCP, Certificates signed by chromecast, undocumented port",10101,391765,37105251,199801,17964269,189832,17096942,391765,37105251,199801,17964269,189832,17096942,379044,35998500,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Unencrypted App,"Unknown broadcast to LAN, potentially local home sdk?",9478,8517,698394,8517,698394,0,0,8517,698394,8517,698394,0,0,0,0,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,"Received from google devices, not responded to, used to be able to use Local Home SDK, this was disabled for security reasons, google still sends.",1111,12144,534336,6072,267168,6072,267168,12144,534336,6072,267168,6072,267168,0,0,0,0,0,0,GoogleHome,NestMini,TPLink,TPLinkLight,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,"Google Talk, reaches out to mtalk.google.com TCP, encrypted, WAN, Enables push messaging",5228,71392,6414799,34468,2715325,36866,3590499,71392,6414799,0,0,0,0,71392,6414799,34468,2715325,36866,3590499,GoogleHome,NestMini,SonyTV,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,"Undocumented, reaches out between nestmini and google home speaker, on LAN, TCP, Certificates signed by chromecast, undocumented port",10005,35004,7935676,16566,3048346,16566,3048346,35004,7935676,16566,3048346,16566,3048346,35004,7935676,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,"Undocumented, reaches out between nestmini and google home speaker, on LAN, TCP, Certificates signed by chromecast, undocumented port",8012,30228,7869704,14050,2890194,14050,2890194,30228,7869704,14050,2890194,14050,2890194,30228,7869704,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,"Undocumented, reaches out between nestmini and google home speaker, on LAN, TCP, Certificates signed by chromecast, undocumented port",9000,110798,19301150,53360,7517228,53360,7517228,110798,19301150,53360,7517228,53360,7517228,110798,19301150,0,0,0,0,GoogleHome,NestMini,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App / Device Control,Tuya MQTT  https://support.tuya.com/en/help/_detail/Kb6bjb8yyf1nf,8886,23674,1989240,13097,1019573,10577,969667,23674,1989240,0,0,0,0,23674,1989240,13097,1019573,10577,969667,MaxcioSmartStrip,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Discovery,Tuya device discovery  https://support.tuya.com/en/help/_detail/Kd9ym28csm58k,6667,134875,34888706,134875,34888706,0,0,134875,34888706,134875,34888706,0,0,0,0,0,0,0,0,MaxcioSmartStrip,Litokam,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App,Sends to home.net.com,9543,2429,733934,1313,237549,1025,425952,2429,733934,0,0,0,0,2429,733934,1313,237549,1025,425952,NestThermostat,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Encrypted App / Device Control,,secure-mqtt,218891,20384944,135204,12423205,83687,7961739,0,0,0,0,0,0,218891,20384944,135204,12423205,83687,7961739,AmazonLight,Govee,Litokam,Netvue,Roborock,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Unencrypted App,sync587264985-,8555,834,50313,417,23280,417,27033,0,0,0,0,0,0,834,50313,417,23280,417,27033,Netvue,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Discovery,similar to mdns,llmnr,3946,323572,3946,323572,0,0,3946,323572,3946,323572,0,0,0,0,0,0,0,0,HoloLens2,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Layer 7,Unencrypted App,Integration with home assistants,58866,122804,14859284,122804,14859284,0,0,122804,14859284,122804,14859284,0,0,0,0,0,0,0,0,Roborock,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Total,,,Total,76322,14583353,53638,12870184,22684,1713169,30354,10654254,30354,10654254,0,0,45968,3929099,23284,2215930,22684,1713169,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 3,,,ip,76322,14583353,53638,12870184,22684,1713169,30354,10654254,30354,10654254,0,0,45968,3929099,23284,2215930,22684,1713169,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 4,,,tcp,44931,3835769,22717,2164900,22214,1670869,0,0,0,0,0,0,44931,3835769,22717,2164900,22214,1670869,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 4,,,udp,31391,10747584,30921,10705284,470,42300,30354,10654254,30354,10654254,0,0,1037,93330,567,51030,470,42300,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 5,,,tls,7465,1773563,4085,1123208,3380,650355,0,0,0,0,0,0,7465,1773563,4085,1123208,3380,650355,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 7,,,http,37,4609,19,3078,18,1531,0,0,0,0,0,0,37,4609,19,3078,18,1531,Sends diagnostics 1st party,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 7,,,ssdp,30354,10654254,30354,10654254,0,0,30354,10654254,30354,10654254,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 7,,,ntp,1037,93330,567,51030,470,42300,0,0,0,0,0,0,1037,93330,567,51030,470,42300,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipsBridge,Layer 7,,,https,44894,3831160,22698,2161822,22196,1669338,0,0,0,0,0,0,44894,3831160,22698,2161822,22196,1669338,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Total,,,Total,113671,101371518,67179,97461921,46492,3909597,220,35916,220,35916,0,0,113451,101335602,66959,97426005,46492,3909597,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 3,,,ip,113671,101371518,67179,97461921,46492,3909597,220,35916,220,35916,0,0,113451,101335602,66959,97426005,46492,3909597,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 4,,,tcp,113447,101335354,66955,97425757,46492,3909597,0,0,0,0,0,0,113447,101335354,66955,97425757,46492,3909597,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 4,,,udp,224,36164,224,36164,0,0,220,35916,220,35916,0,0,4,248,4,248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 5,,,tls,13070,9327871,8614,8204062,4456,1123809,0,0,0,0,0,0,13070,9327871,8614,8204062,4456,1123809,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,http,157,55555,65,47519,92,8036,0,0,0,0,0,0,157,55555,65,47519,92,8036,"Used to fetch certs and upgrade Websocket to secure websocket, then secure websocket is used for communication",,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,mdns,184,33504,184,33504,0,0,184,33504,184,33504,0,0,0,0,0,0,0,0,Responds with type and name,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,https,113290,101279799,66890,97378238,46400,3901561,0,0,0,0,0,0,113290,101279799,66890,97378238,46400,3901561,,,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,34484,14,938,14,938,0,0,14,938,14,938,0,0,0,0,0,0,0,0,"UDP sends to IPS gotten before the router was configured properly, memory?",,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,48564,13,871,13,871,0,0,13,871,13,871,0,0,0,0,0,0,0,0,"UDP sends to IPS gotten before the router was configured properly, memory?",,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,44006,9,603,9,603,0,0,9,603,9,603,0,0,0,0,0,0,0,0,"UDP sends to IPS gotten before the router was configured properly, memory?",,,,,,,,,,,,,,,,,,,,,,,,,
DLink,Layer 7,,,stun,4,248,4,248,0,0,0,0,0,0,0,0,4,248,4,248,0,0,STUN for VoIP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Total,,,Total,1352122,161486409,671365,66323151,680757,95163258,1169915,95075533,573151,38590063,596764,56485470,182207,66410876,98214,27733088,83993,38677788,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 3,,,ip,1351947,161469084,671190,66305826,680757,95163258,1169740,95058208,572976,38572738,596764,56485470,182207,66410876,98214,27733088,83993,38677788,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 3,,,ipv6,175,17325,175,17325,0,0,175,17325,175,17325,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 4,,,tcp,336336,105961470,163490,40842089,172846,65119381,154133,39550954,65278,13109181,88855,26441773,182203,66410516,98212,27732908,83991,38677608,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 4,,,udp,1015786,55524939,507875,25481062,507911,30043877,1015782,55524579,507873,25480882,507909,30043697,4,360,2,180,2,180,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 5,,,tls,161835,80747228,100276,36401086,61559,44346142,85045,34384081,55422,12446087,29623,21937994,76790,46363147,44854,23954999,31936,22408148,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoDot3,Layer 7,,,http,13183,1451965,6203,651389,6980,800576,3671,285064,1853,144472,1818,140592,9512,1166901,4350,506917,5162,659984,"connectivity and captive portal checks, requests SSDP device desc from Sony TV (only model name) gets ssdp unpn data such as service lists and control addresses, send metrics to 1st party",,,,,,,,,,,,,,,,,,,,,,,,,
