Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
TPLinkLight (FR) ,91800,186,73479,126,68516,60,4963,85,63861,59,62717,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,93600,187,73677,128,68689,59,4988,83,63773,59,62717,24,1056,104,9904,69,5972,35,3932
TPLinkLight (FR) ,95400,186,73479,126,68516,60,4963,85,63861,59,62717,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,97200,192,74782,127,69579,65,5203,89,65056,60,63780,29,1276,103,9726,67,5799,36,3927
TPLinkLight (FR) ,99000,188,74606,127,69579,61,5027,85,64880,60,63780,25,1100,103,9726,67,5799,36,3927
TPLinkLight (FR) ,100800,182,73457,128,68689,54,4768,78,63553,59,62717,19,836,104,9904,69,5972,35,3932
TPLinkLight (FR) ,102600,187,74542,127,69579,60,4963,86,64924,60,63780,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,104400,187,76600,129,71705,58,4895,84,66874,62,65906,22,968,103,9726,67,5799,36,3927
TPLinkLight (FR) ,106200,192,78838,131,73831,61,5007,91,69220,64,68032,27,1188,101,9618,67,5799,34,3819
TPLinkLight (FR) ,108000,190,74828,129,69752,61,5076,86,64924,60,63780,26,1144,104,9904,69,5972,35,3932
TPLinkLight (FR) ,109800,185,74454,127,69579,58,4875,84,64836,60,63780,24,1056,101,9618,67,5799,34,3819
TPLinkLight (FR) ,111600,184,73391,126,68516,58,4875,83,63773,59,62717,24,1056,101,9618,67,5799,34,3819
TPLinkLight (FR) ,113400,186,74498,127,69579,59,4919,85,64880,60,63780,25,1100,101,9618,67,5799,34,3819
TPLinkLight (FR) ,115200,190,75959,132,70995,58,4964,82,65767,61,64843,21,924,108,10192,71,6152,37,4040
TPLinkLight (FR) ,117000,186,74508,127,69579,59,4929,84,64836,60,63780,24,1056,102,9672,67,5799,35,3873
TPLinkLight (FR) ,118800,187,75581,129,70696,58,4885,84,65855,61,64843,23,1012,103,9726,68,5853,35,3873
TPLinkLight (FR) ,120600,190,75693,128,70642,62,5051,89,66075,61,64843,28,1232,101,9618,67,5799,34,3819
TPLinkLight (FR) ,122400,185,72416,125,67453,60,4963,84,62798,58,61654,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,124200,187,73677,128,68689,59,4988,83,63773,59,62717,24,1056,104,9904,69,5972,35,3932
TPLinkLight (FR) ,126000,183,74366,127,69579,56,4787,82,64748,60,63780,22,968,101,9618,67,5799,34,3819
TPLinkLight (FR) ,127800,188,74606,127,69579,61,5027,85,64880,60,63780,25,1100,103,9726,67,5799,36,3927
TPLinkLight (FR) ,129600,186,73479,126,68516,60,4963,85,63861,59,62717,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,131400,187,74696,129,69752,58,4944,83,64792,60,63780,23,1012,104,9904,69,5972,35,3932
TPLinkLight (FR) ,133200,187,74542,127,69579,60,4963,86,64924,60,63780,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,135000,191,74718,127,69579,64,5139,90,65100,60,63780,30,1320,101,9618,67,5799,34,3819
TPLinkLight (FR) ,136800,183,74366,127,69579,56,4787,82,64748,60,63780,22,968,101,9618,67,5799,34,3819
TPLinkLight (FR) ,138600,188,74760,129,69752,59,5008,82,64748,60,63780,22,968,106,10012,69,5972,37,4040
TPLinkLight (FR) ,140400,193,74826,127,69579,66,5247,90,65100,60,63780,30,1320,103,9726,67,5799,36,3927
TPLinkLight (FR) ,142200,184,72372,125,67453,59,4919,83,62754,58,61654,25,1100,101,9618,67,5799,34,3819
TPLinkLight (FR) ,144000,187,74542,127,69579,60,4963,86,64924,60,63780,26,1144,101,9618,67,5799,34,3819
TPLinkLight (FR) ,145800,194,75044,133,69968,61,5076,86,64924,60,63780,26,1144,108,10120,73,6188,35,3932
