Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
NestMini (FR) ,82800,9543,1240986,5058,719018,4485,521968,8486,995753,4499,581786,3987,413967,1057,245233,559,137232,498,108001
NestMini (FR) ,84600,8544,1097671,4488,679922,4056,417749,7764,926759,4072,575455,3692,351304,780,170912,416,104467,364,66445
NestMini (FR) ,86400,8418,1044785,4398,649212,4020,395573,7618,882150,3970,547672,3648,334478,800,162635,428,101540,372,61095
NestMini (FR) ,88200,8617,1117547,4498,674350,4119,443197,7568,867064,3928,533214,3640,333850,1049,250483,570,141136,479,109347
NestMini (FR) ,90000,8932,1160555,4874,747411,4058,413144,8083,980045,4419,640725,3664,339320,849,180510,455,106686,394,73824
NestMini (FR) ,91800,8533,1089423,4508,670929,4025,418494,7716,904694,4067,566275,3649,338419,817,184729,441,104654,376,80075
NestMini (FR) ,93600,8729,1130629,4684,697726,4045,432903,7836,922390,4202,590570,3634,331820,893,208239,482,107156,411,101083
NestMini (FR) ,95400,8597,1541543,4516,649373,4081,892170,7501,871377,3921,541895,3580,329482,1096,670166,595,107478,501,562688
NestMini (FR) ,97200,8354,1045453,4393,649390,3961,396063,7526,875013,3945,545461,3581,329552,828,170440,448,103929,380,66511
NestMini (FR) ,99000,8306,1033908,4347,646858,3959,387050,7553,886039,3942,550699,3611,335340,753,147869,405,96159,348,51710
NestMini (FR) ,100800,8825,1147784,4864,762161,3961,385623,7996,975737,4417,647276,3579,328461,829,172047,447,114885,382,57162
NestMini (FR) ,102600,8613,1143131,4546,689637,4067,453494,7575,880405,3977,549734,3598,330671,1038,262726,569,139903,469,122823
NestMini (FR) ,104400,8541,1084471,4596,691442,3945,393029,7761,925270,4182,595854,3579,329416,780,159201,414,95588,366,63613
NestMini (FR) ,106200,8513,1073564,4534,677792,3979,395772,7681,902498,4085,572975,3596,329523,832,171066,449,104817,383,66249
NestMini (FR) ,108000,8317,1045074,4326,639139,3991,405935,7434,854962,3852,525306,3582,329656,883,190112,474,113833,409,76279
