Device,StartTime,Frames,Bytes,TxFrames,TxBytes,RxFrames,RxBytes,LanFrames,LanBytes,LanTxFrames,LanTxBytes,LanRxFrames,LanRxBytes,WanFrames,WanBytes,WanTxFrames,WanTxBytes,WanRxFrames,WanRxBytes
EchoShow5 (FR) ,79200,9156,1051917,4694,541081,4462,510836,8288,673914,4257,401528,4031,272386,868,378003,437,139553,431,238450
EchoShow5 (FR) ,81000,9280,1195036,4762,650698,4518,544338,8229,666303,4228,398767,4001,267536,1051,528733,534,251931,517,276802
EchoShow5 (FR) ,82800,9326,969375,4781,549750,4545,419625,8357,687904,4308,407905,4049,279999,969,281471,473,141845,496,139626
EchoShow5 (FR) ,84600,13744,6353513,7403,2078025,6341,4275488,8386,704671,4307,405845,4079,298826,5358,5648842,3096,1672180,2262,3976662
EchoShow5 (FR) ,86400,9293,1056105,4779,542342,4514,513763,8319,677472,4278,401991,4041,275481,974,378633,501,140351,473,238282
EchoShow5 (FR) ,88200,9871,1423394,5115,756769,4756,666625,8317,679270,4272,404677,4045,274593,1554,744124,843,352092,711,392032
EchoShow5 (FR) ,90000,9251,1542191,4717,472128,4534,1070063,8317,676685,4291,404247,4026,272438,934,865506,426,67881,508,797625
EchoShow5 (FR) ,91800,10059,2059199,5197,701459,4862,1357740,8379,697518,4313,406661,4066,290857,1680,1361681,884,294798,796,1066883
EchoShow5 (FR) ,93600,9092,1023231,4664,546689,4428,476542,8284,678563,4273,406011,4011,272552,808,344668,391,140678,417,203990
EchoShow5 (FR) ,95400,9355,1175564,4818,617390,4537,558174,8287,677360,4253,403329,4034,274031,1068,498204,565,214061,503,284143
EchoShow5 (FR) ,97200,9822,2194474,5082,596777,4740,1597697,8343,680964,4296,403858,4047,277106,1479,1513510,786,192919,693,1320591
EchoShow5 (FR) ,99000,9564,1271626,4909,653837,4655,617789,8349,696050,4288,404914,4061,291136,1215,575576,621,248923,594,326653
EchoShow5 (FR) ,100800,8987,965386,4602,504964,4385,460422,8289,675336,4273,403383,4016,271953,698,290050,329,101581,369,188469
EchoShow5 (FR) ,102600,9335,1204045,4796,644343,4539,559702,8261,672905,4254,401246,4007,271659,1074,531140,542,243097,532,288043
EchoShow5 (FR) ,104400,9010,972488,4610,507364,4400,465124,8291,679882,4264,405044,4027,274838,719,292606,346,102320,373,190286
EchoShow5 (FR) ,106200,10192,1878606,5245,732035,4947,1146571,8428,715622,4332,408106,4096,307516,1764,1162984,913,323929,851,839055
EchoShow5 (FR) ,108000,9073,1004158,4631,526369,4442,477789,8288,678889,4260,404604,4028,274285,785,325269,371,121765,414,203504
EchoShow5 (FR) ,109800,9227,1139732,4737,594663,4490,545069,8242,668533,4239,400049,4003,268484,985,471199,498,194614,487,276585
EchoShow5 (FR) ,111600,8993,962537,4606,505777,4387,456760,8318,680926,4277,405695,4041,275231,675,281611,329,100082,346,181529
EchoShow5 (FR) ,113400,11301,3205337,6030,1817544,5271,1387793,8367,699452,4285,404224,4082,295228,2934,2505885,1745,1413320,1189,1092565
EchoShow5 (FR) ,115200,9053,970042,4655,508087,4398,461955,8354,680783,4319,406391,4035,274392,699,289259,336,101696,363,187563
EchoShow5 (FR) ,117000,9205,1146421,4725,615021,4480,531400,8257,677016,4246,403897,4011,273119,948,469405,479,211124,469,258281
EchoShow5 (FR) ,118800,9118,999300,4690,514564,4428,484736,8282,674451,4255,401077,4027,273374,836,324849,435,113487,401,211362
EchoShow5 (FR) ,120600,9988,1986401,5135,666007,4853,1320394,8383,702081,4308,406205,4075,295876,1605,1284320,827,259802,778,1024518
EchoShow5 (FR) ,122400,8943,956323,4564,502955,4379,453368,8298,679268,4263,404653,4035,274615,645,277055,301,98302,344,178753
EchoShow5 (FR) ,124200,9339,1207033,4786,646696,4553,560337,8245,675338,4237,402381,4008,272957,1094,531695,549,244315,545,287380
EchoShow5 (FR) ,126000,9089,1033011,4646,556393,4443,476618,8304,676732,4277,403969,4027,272763,785,356279,369,152424,416,203855
EchoShow5 (FR) ,127800,10353,2065185,5387,730167,4966,1335018,8368,697376,4293,404869,4075,292507,1985,1367809,1094,325298,891,1042511
EchoShow5 (FR) ,129600,9142,1041585,4676,546701,4466,494884,8358,685355,4298,406196,4060,279159,784,356230,378,140505,406,215725
EchoShow5 (FR) ,131400,9373,1198795,4793,624238,4580,574557,8295,674816,4260,402001,4035,272815,1078,523979,533,222237,545,301742
EchoShow5 (FR) ,133200,8967,943632,4593,490641,4374,452991,8304,675391,4268,403425,4036,271966,663,268241,325,87216,338,181025
EchoShow5 (FR) ,135000,9789,1783627,5036,670364,4753,1113263,8395,702414,4302,406623,4093,295791,1394,1081213,734,263741,660,817472
EchoShow5 (FR) ,136800,9258,1054788,4745,555342,4513,499446,8424,694785,4341,409943,4083,284842,834,360003,404,145399,430,214604
EchoShow5 (FR) ,138600,9395,1193085,4834,617192,4561,575893,8298,674072,4259,401057,4039,273015,1097,519013,575,216135,522,302878
EchoShow5 (FR) ,140400,9150,969988,4693,540388,4457,429600,8288,670833,4261,401161,4027,269672,862,299155,432,139227,430,159928
EchoShow5 (FR) ,142200,11607,3354477,6163,1816867,5444,1537610,8422,707567,4316,409315,4106,298252,3185,2646910,1847,1407552,1338,1239358
EchoShow5 (FR) ,144000,9589,1921429,4963,563080,4626,1358349,8313,675909,4279,403128,4034,272781,1276,1245520,684,159952,592,1085568
EchoShow5 (FR) ,145800,9855,2422631,5102,629383,4753,1793248,8265,669273,4243,399822,4022,269451,1590,1753358,859,229561,731,1523797
EchoShow5 (FR) ,147600,8959,957173,4587,511011,4372,446162,8294,679066,4265,405051,4029,274015,665,278107,322,105960,343,172147
EchoShow5 (FR) ,149400,10305,2675808,5318,687899,4987,1987909,8398,704462,4307,405300,4091,299162,1907,1971346,1011,282599,896,1688747
EchoShow5 (FR) ,151200,9295,1349367,4810,548475,4485,800892,8258,671229,4258,402453,4000,268776,1037,678138,552,146022,485,532116
