IP, Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
52.44.34.140,*.compute-1.amazonaws.com.,United States,None,30320,2630557,10156,985892,20164,1644665
34.194.40.211,0.ntp.nvts.co,United States,None,440,26546,220,14263,220,12283
52.200.232.52,0.ntp.nvts.co,United States,None,394,23767,197,12770,197,10997
44.213.42.13,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,707,209268,305,164118,402,45150
52.70.161.86,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,606,193269,259,154954,347,38315
34.193.127.115,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,534,163399,229,129414,305,33985
54.204.59.176,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,514,160186,220,127556,294,32630
54.210.33.145,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,493,156919,210,125644,283,31275
52.54.212.178,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,437,138879,187,111190,250,27689
34.197.164.221,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,402,123950,172,98360,230,25590
34.225.243.222,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,384,120893,165,96658,219,24235
184.73.233.73,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,224,72448,96,58368,128,14080
3.216.168.201,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,179,51556,77,40046,102,11510
34.196.181.225,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,84,27204,36,21924,48,5280
54.197.57.108,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,84,27204,36,21924,48,5280
34.203.118.105,deviceapi.nvts.co,United States,US;US;US;US;US;US;US,48,12245,21,9130,27,3115
44.209.65.86,localweb.nvts.co,United States,US;US;US;US;US;US;US,451,151155,185,120662,266,30493
44.198.156.16,localweb.nvts.co,United States,US;US;US;US;US;US;US,285,95490,117,76218,168,19272
52.0.113.149,localweb.nvts.co,United States,US;US;US;US;US;US;US,209,71277,83,56850,126,14427
44.207.230.159,localweb.nvts.co,United States,US;US;US;US;US;US;US,47,15888,19,12682,28,3206
192.168.1.106,None,None,None,639562,135434556,351635,111422976,287927,24011580
239.255.255.250,None,None,None,10629,1897332,0,0,10629,1897332
192.168.1.1,None,None,None,1568,454882,784,394644,784,60238
52.217.88.158,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,91,34599,41,15374,50,19225
52.217.89.246,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,54,25970,23,7822,31,18148
54.231.236.88,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,47,17222,22,7768,25,9454
16.182.69.176,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,47,16882,22,7768,25,9114
16.182.103.72,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,46,17219,21,7714,25,9505
52.216.168.165,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,46,18009,20,7660,26,10349
52.216.154.206,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,45,17606,20,7660,25,9946
16.182.100.216,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,45,18165,19,7606,26,10559
52.217.10.206,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,45,17628,20,7660,25,9968
52.217.4.70,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,16805,19,7606,25,9199
52.216.108.221,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,17147,19,7606,25,9541
52.216.36.184,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,17736,18,7552,26,10184
52.216.205.125,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,17065,19,7606,25,9459
52.216.109.221,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,16880,19,7606,25,9274
52.216.153.254,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,16750,19,7606,25,9144
52.216.145.101,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,17742,19,7606,25,10136
52.216.244.70,*.us-east-1.amazonaws.com,United States,US;US;US;US;US;US;US,44,16865,19,7606,25,9259
