IP, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
224.0.0.251,mdns.mcast.net.,mdns.mcast.net.,None,None,23083,5362511,0,0,23083,5362511
142.251.168.188,wh-in-f188.1e100.net.,wh-in-f188.1e100.net.,United States,None,21424,1965863,12884,1131630,8540,834233
142.250.201.174,clients3.google.com,clients3.google.com,United States,US;US;US;BE;US,8960,7706279,3618,6420945,5342,1285334
216.58.214.163,connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,United States,US;US;US;BE;US,8529,1844695,2939,579003,5590,1265692
239.255.255.250,None,None,None,None,6816,2475344,0,0,6816,2475344
142.250.75.227,connectivitycheck.gstatic.com,connectivitycheck.gstatic.com,United States,US;US;US;BE;US,5234,1152217,1811,379783,3423,772434
45.57.90.1,secure.netflix.com,secure.netflix.com,United States,None,3279,7030386,1434,6886092,1845,144294
216.58.214.170,imasdk.googleapis.com,imasdk.googleapis.com,United States,US;US;US;BE;US,2984,1525818,1437,1138793,1547,387025
142.250.178.138,android.googleapis.com,android.googleapis.com,United States,US;US;US;BE;US,2612,1119797,1271,782807,1341,336990
172.217.20.202,youtubei.googleapis.com,youtubei.googleapis.com,United States,US;US;US;BE;US,2391,822007,1197,479146,1194,342861
142.250.201.170,android.googleapis.com,android.googleapis.com,United States,US;US;US;BE;US,2376,1217431,1137,865196,1239,352235
192.168.231.171,None,None,None,None,2240,831075,525,43120,1715,787955
192.168.231.108,None,None,None,None,2220,823055,525,43120,1695,779935
142.250.179.74,www.googleapis.com,www.googleapis.com,United States,US;US;US;BE;US,2057,854235,1017,510242,1040,343993
142.250.179.106,android.googleapis.com,android.googleapis.com,United States,US;US;US;BE;US,2057,919598,1014,653036,1043,266562
52.30.55.190,logs.netflix.com,logs.netflix.com,Ireland,None,1901,1286375,756,517551,1145,768824
142.250.75.234,android.googleapis.com,android.googleapis.com,United States,US;US;US;BE;US,1824,735057,893,455483,931,279574
52.209.135.12,logs.netflix.com,logs.netflix.com,Ireland,None,1704,1162468,676,466927,1028,695541
64.233.167.188,mtalk.google.com,mtalk.google.com,United States,None,1491,133363,889,74556,602,58807
172.217.20.170,www.googleapis.com,www.googleapis.com,United States,US;US;US;BE;US,1456,518445,732,315286,724,203159
216.239.38.57,fcm.googleapis.com,fcm.googleapis.com,United States,None,1417,420029,634,299988,783,120041
52.16.177.193,logs.netflix.com,logs.netflix.com,Ireland,None,1366,920425,544,375351,822,545074
216.58.214.74,play.googleapis.com,play.googleapis.com,United States,US;US;US;BE;US,1308,653153,633,469645,675,183508
216.239.38.55,fcm.googleapis.com,fcm.googleapis.com,United States,None,1287,380928,579,272226,708,108702
172.217.18.202,android.googleapis.com,android.googleapis.com,United States,US;US;US;BE;US,1160,420180,571,263917,589,156263
216.239.36.55,fcm.googleapis.com,fcm.googleapis.com,United States,None,1156,341966,516,244019,640,97947
142.250.179.110,play-fe.googleapis.com,play-fe.googleapis.com,United States,None,1134,713479,523,286282,611,427197
142.250.74.234,speechs3proto2-pa.googleapis.com,speechs3proto2-pa.googleapis.com,United States,US;US;US;BE;US,1003,311571,482,185295,521,126276
216.58.213.74,play.googleapis.com,play.googleapis.com,United States,US;US;US;BE;US,919,447199,449,321971,470,125228
216.239.36.57,fcm.googleapis.com,fcm.googleapis.com,United States,None,831,244213,373,174211,458,70002
45.57.91.1,assets.nflxext.com,assets.nflxext.com,United States,None,779,1645806,334,1608590,445,37216
216.58.215.42,android.googleapis.com,android.googleapis.com,United States,US;US;US;BE;US,760,424639,353,342553,407,82086
8.8.8.8,dns.google.,dns.google.,United States,None,650,100592,325,74182,325,26410
173.194.76.188,mtalk.google.com,mtalk.google.com,United States,None,597,115532,300,91227,297,24305
74.125.133.188,mtalk.google.com,mtalk.google.com,United States,None,469,61958,208,40227,261,21731
54.73.99.78,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,379,219759,166,123580,213,96179
54.228.171.0,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,344,228875,140,119735,204,109140
3.248.68.85,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,287,155192,127,93890,160,61302
63.35.92.152,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,241,147805,103,80994,138,66811
54.75.143.18,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,238,151185,99,80946,139,70239
176.34.214.23,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,224,139304,94,75832,130,63472
34.252.142.55,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,214,106296,96,67455,118,38841
52.84.174.104,api.erabu.sony.tv,api.erabu.sony.tv,United States,US;US;US;US;US;US;US,184,50567,88,29241,96,21326
54.220.170.166,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,178,118477,72,62247,106,56230
3.248.72.3,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,168,79178,75,50456,93,28722
54.77.110.160,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,141,74269,62,45554,79,28715
34.248.133.31,api-global.netflix.com,api-global.netflix.com,Ireland,US;US;US;US,130,116868,49,68025,81,48843
54.155.136.132,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,126,65967,57,40735,69,25232
54.195.14.93,nrdp-ipv6.prod.ftl.netflix.com,nrdp-ipv6.prod.ftl.netflix.com,Ireland,None,125,90819,49,45066,76,45753
54.155.246.232,www.netflix.com,www.netflix.com,Ireland,None,111,34022,47,21031,64,12991
13.224.68.118,api.erabu.sony.tv,api.erabu.sony.tv,United States,US;US;US;US;US;US;US,98,25432,52,14901,46,10531
52.84.174.89,api.erabu.sony.tv,api.erabu.sony.tv,United States,US;US;US;US;US;US;US,94,25288,44,14493,50,10795
18.239.69.44,api.erabu.sony.tv,api.erabu.sony.tv,United States,US;US;US;US;US;US;US,89,25206,44,14741,45,10465
34.240.52.30,api-global.netflix.com,api-global.netflix.com,Ireland,US;US;US;US,85,85640,34,72092,51,13548
52.17.111.227,uiboot.netflix.com,uiboot.netflix.com,Ireland,US;US;US;US,84,79848,35,52320,49,27528
63.35.126.25,preapp.prod.partner.netflix.net,preapp.prod.partner.netflix.net,Ireland,None,82,52064,39,37307,43,14757
34.250.84.59,api-global.netflix.com,api-global.netflix.com,Ireland,US;US;US;US,81,79445,33,51983,48,27462
99.81.216.237,preapp.prod.partner.netflix.net,preapp.prod.partner.netflix.net,Ireland,None,78,52245,37,37620,41,14625
34.252.29.56,nrdp70-appboot.netflix.com,nrdp70-appboot.netflix.com,Ireland,None,69,52140,28,20332,41,31808
3.251.50.149,www.netflix.com,www.netflix.com,Ireland,None,69,18946,32,11248,37,7698
34.240.160.76,nrdp70-appboot.netflix.com,nrdp70-appboot.netflix.com,Ireland,None,63,51743,22,19936,41,31807
52.11.230.198,log.core.cloud.vewd.com,log.core.cloud.vewd.com,United States,AT;US;AT;GB;US,59,16895,26,13063,33,3832
44.203.165.173,e2df123a4dcaeaae2c830c6c288fe47f0fe4e2d4c7a754637f0ef83434a988b.us-east-1.prod.service.minerva.devices.a2z.com,e2df123a4dcaeaae2c830c6c288fe47f0fe4e2d4c7a754637f0ef83434a988b.us-east-1.prod.service.minerva.devices.a2z.com,United States,US;US;US;US;US;US;US,55,21072,23,10634,32,10438
52.214.249.246,preapp.prod.partner.netflix.net,preapp.prod.partner.netflix.net,Ireland,None,53,34534,25,24740,28,9794
142.250.179.78,android.clients.google.com,android.clients.google.com,United States,US;US;US;BE;US,53,24348,25,19954,28,4394
142.250.178.142,android.clients.google.com,android.clients.google.com,United States,US;US;US;BE;US,53,24423,25,20029,28,4394
34.192.183.83,e2df123a4dcaeaae2c830c6c288fe47f0fe4e2d4c7a754637f0ef83434a988b.us-east-1.prod.service.minerva.devices.a2z.com,e2df123a4dcaeaae2c830c6c288fe47f0fe4e2d4c7a754637f0ef83434a988b.us-east-1.prod.service.minerva.devices.a2z.com,United States,US;US;US;US;US;US;US,49,18515,21,9520,28,8995
52.211.14.11,uiboot.netflix.com,uiboot.netflix.com,Ireland,US;US;US;US,46,37307,18,16255,28,21052
52.49.41.243,api-global.netflix.com,api-global.netflix.com,Ireland,US;US;US;US,45,42900,20,36160,25,6740
54.73.148.110,www.netflix.com,www.netflix.com,Ireland,None,44,12496,19,7343,25,5153
52.213.79.183,uiboot.netflix.com,uiboot.netflix.com,Ireland,US;US;US;US,44,37271,17,16285,27,20986
54.229.254.136,uiboot.netflix.com,uiboot.netflix.com,Ireland,US;US;US;US,43,37201,17,16281,26,20920
34.242.150.220,api-global.netflix.com,api-global.netflix.com,Ireland,US;US;US;US,43,42482,18,35741,25,6741
54.74.73.31,www.netflix.com,www.netflix.com,Ireland,None,42,12365,18,7278,24,5087
54.170.196.176,www.netflix.com,www.netflix.com,Ireland,None,42,12368,18,7278,24,5090
52.213.164.31,uiboot.netflix.com,uiboot.netflix.com,Ireland,US;US;US;US,42,37086,15,16100,27,20986
52.210.63.192,api-global.netflix.com,api-global.netflix.com,Ireland,US;US;US;US,42,42461,16,35655,26,6806
46.137.170.241,android.prod.cloud.netflix.com,android.prod.cloud.netflix.com,Ireland,None,41,10627,19,6291,22,4336
52.17.126.117,nrdp70-appboot.netflix.com,nrdp70-appboot.netflix.com,Ireland,None,37,26235,15,10232,22,16003
34.195.175.66,device-metrics-us-2.amazon.com,device-metrics-us-2.amazon.com,United States,US;US;US;US;US,36,10958,16,6515,20,4443
