IP, Original Hostname, Modified Hostname, IP Geolocation, Cert Geolocations, Packets, Bytes, TxPackets, TxBytes, RxPackets, RxBytes
142.251.111.94,bk-in-f94.1e100.net.,*.1e100.net,United States,None,10,1049,5,484,5,565
31.13.66.10,*.facebook.com,*.facebook.com,United States,US;US;US;US,32,6525,14,4301,18,2224
157.240.229.17,edge-star-shv-02-iad3.facebook.com.,*.facebook.com,United States,None,52,3504,17,1242,35,2262
31.13.66.4,graph.facebook.com,*.facebook.com,United States,None,297,385582,153,18614,144,366968
31.13.66.34,mqtt-mini.facebook.com,*.facebook.com,United States,None,537,49406,248,24329,289,25077
157.240.229.34,mqtt-mini.facebook.com,*.facebook.com,United States,None,464,40366,228,19269,236,21097
157.240.229.55,graph.oculus.com,*.oculus.com,United States,US;US;US;US,916,201954,387,109964,529,91990
31.13.66.48,graph.oculus.com,*.oculus.com,United States,US;US;US;US,478,112027,207,55151,271,56876
129.134.29.123,time2.facebook.com.,time.facebook.com,United States,None,2,180,1,90,1,90
129.134.25.123,time3.facebook.com.,time.facebook.com,United States,None,2,180,1,90,1,90
129.134.26.123,time4.facebook.com.,time.facebook.com,United States,None,2,180,1,90,1,90
